BUXTON-GOYTSCLOUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK011733,Long,-1.9849707,Lat,53.256705,Elevation,1175,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/2/1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,9.31,5.84,3.2,5.25,4.4,4.71,5.8,7.1,7.94,,3.38,4.47,7.12,8.37,4.97,6.44,4.58,13.23,4.72,4.21,6.59,7.39,3.33,5.1,3.9,9.1,3.81,5.73,5.09,8.32
February,6.34,0.25,5.82,0.4,7.2,3.16,7.46,2.2,4.24,,8.26,2.47,4.72,3.16,5.02,9.27,2.25,4.4,2.73,8.06,6.11,3.24,3.15,4.41,3.12,1.72,3.92,8.73,1.17,3.93
March,0.27,3.83,3.9,4.22,2.23,2.86,3.57,1.9,3.53,3.79,4.23,3.39,1.65,1.06,2.33,1.91,8.21,2.59,3.71,2.67,8.88,4.22,3.22,3.9,4.19,2.45,5.09,2.86,2.59,2.2
April,6.89,6.15,2.41,2.99,5.01,1.61,5.85,0.45,3.42,3.31,4.26,3.07,3.1,4.02,3.05,2.55,4.59,2.73,4.64,5.49,4.4,5.24,4.59,1.15,3.57,2.69,0.51,2.23,4.03,2.98
May,3.4,5.84,2.16,3.59,0.6,0.46,2.55,4.15,1.82,1.44,3.6,5.74,4.6,3.27,3.71,2.09,3.1,2.23,3.46,1.8,2.63,2.46,2.61,4.31,5.5,1.62,3.01,6.2,0.79,2.12
June,6.83,1.14,4.11,1.78,5.01,3.61,1.85,5.25,3.35,1.58,2.87,0.85,4.99,4.95,4.67,6.07,3.07,8.07,2.57,4.26,2.73,4.1,4.76,4.43,4,4.11,2.47,7.62,1.76,2.88
July,5.72,4.68,3.7,3.71,2.5,8.01,4.8,6.4,9.87,5.53,3.78,7.59,2.27,5.12,1.92,6.98,4.41,5.64,3.2,3.78,3.93,5.57,6.82,7.73,2.05,8.41,7.2,6.3,4.67,8.92
August,7.55,1.74,2.02,4.34,2.5,2.95,1.1,3.5,3.28,2.66,8.93,4.96,5.75,3.83,3.68,6.68,0.7,7.55,3.61,5.61,7.31,2.92,5.76,7.9,1.01,12.99,7.77,5.32,0.6,5.5
September,5.24,5.14,0.72,4.79,8.31,6.52,1.8,2.85,2.28,4.27,0.89,4.29,6.82,5.24,2.23,8.37,2.95,3.7,1.53,7.86,3.64,5.48,3.93,6.49,3.81,4.91,11.85,6.52,0.27,4.72
October,3.06,9.03,7.35,6.93,10.05,7.25,2.8,7.9,3.75,5.24,6.77,9.3,3.43,6.45,7.78,1.18,1.3,3.9,5.42,3.31,1.57,5.63,2.86,9.33,4.1,3.71,5.28,5.55,4.67,6.66
November,7.95,4.38,2.47,2.5,7.15,6.24,2.4,6.65,8.31,9.49,4.77,1.35,4.93,8.18,0.96,9.15,6.07,3.59,7.36,8.2,13.34,3.96,3.48,8.57,3.08,2.43,2.5,2.01,6.18,7.04
December,2.47,2.24,0.61,8.98,5.61,5.91,5.35,7.54,3.27,6.14,3.61,5.74,3.02,4.53,4.68,5.45,6.54,5.73,7.49,4.78,7.4,5.45,2.69,8.98,6.19,7.42,6.55,5.27,9.26,5.74
Total,65.03,50.26,38.47,49.48,60.57,53.29,45.33,55.89,55.06,,55.35,53.22,52.4,58.18,45,66.14,47.77,63.36,50.44,60.03,68.53,55.66,47.2,72.3,44.52,61.56,59.96,64.34,41.08,61.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11855 GOYTSCLOUGH Starts 1931 end 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is in Goytsclough. Altitudes match. Gauge started life as a Cheshire record wiith Station No 2725/8 but appears to be same position so either an error originally or a boundary change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 47 part estimated for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
