"LEADHILLS, LANARKSHIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 886 151,Long,-3.76054,Lat,55.417508,Elevation,1300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,8.39,4.16,7.79,7,7.39,2.49,4.7,3.74,5.28,6.46,4.66,4.34,5.59,7.49,4.48,6.24,12.48,2.96,8.72,7.51,13.9,13.17,13.92,6.93,9.75,6.58,13.63,9.82,,,
February,6.16,1.79,2.58,14.03,4.86,3.39,2.29,4.5,3.44,2.97,7.77,7.07,5.79,4.32,10.84,12.87,7.87,1.79,9.69,1.78,7.41,2.04,8.48,11.53,1.7,5.99,7.09,3.43,,,
March,0.46,2.95,4.77,16.49,4.14,8.79,3.59,5.78,7.07,4.72,6.83,2.64,7.77,7.94,8.29,5.37,4.8,3.67,2.76,5.87,10.13,12.85,4.06,4.12,1.12,1.85,4.63,5.59,,,
April,4.95,6.33,4.28,1.77,6.97,4.71,1.03,3.58,1.7,4.5,4.96,9.2,2.21,8.07,3.93,4.65,6.34,3.94,1.28,6.23,4.45,1.99,4.68,6.03,5.43,8.36,3.58,5.13,,,
May,6.82,3.5,2.48,2.37,3.63,3.52,7.9,6.36,3.16,3.21,2.87,5.2,1.77,6.26,3.41,1.69,4.24,3.01,3.76,1.71,6.72,4.11,4.87,3.47,5.51,8.97,6.59,4.36,,,
June,4.41,5.08,2.6,2.11,2.73,2.28,2.37,6.18,4.11,3.63,1.47,3.76,6.97,4.16,1.76,2.12,4.39,4.07,2.69,4.12,2.63,1.1,5.13,1.9,2.92,0.85,5.53,5.86,,,
July,4.28,1.4,6.02,4.42,4.51,4.51,4.18,4.56,4.68,7.12,6.65,4.35,4.38,0.87,2.69,7.73,5.33,2.79,3.79,1.69,6.12,6.42,9.17,6.9,6.64,3.85,5.59,5,,,
August,5.44,9.17,3.48,7.42,6.17,6.71,7.02,8.74,5.2,5.16,13.27,4.23,6.11,1.35,6.81,5.86,5.53,9.22,4.98,4.63,6.22,11.23,5.57,13.31,8.36,5.55,5.9,7.18,,,
September,3.92,6.61,3.72,2.49,4.75,4.15,1.47,0.92,10.01,2.82,1.61,3.55,3.38,2.88,2.68,1.65,4.23,5.88,9.27,6.1,5.58,2.88,3.84,9.76,8.11,4.31,5.58,10,,,
October,6.48,7.11,3.64,14.39,2.98,4.59,11.09,12.01,1.71,11.03,2.99,4.49,6.91,4.34,2.72,3.58,10.58,10.33,8.13,2.27,3,4.38,4.11,10.9,5.91,9.98,6.23,9.5,,,
November,8.16,6.29,5.32,5.29,3.62,6.78,5.41,5.48,4.83,3.06,4.87,6.5,4.83,7.1,8.11,3.38,8.14,8.38,7.58,5.99,4.38,3.29,5.63,6.48,5.41,1.96,9.25,9,,,
December,9.9,7.93,16.22,4.7,4.83,5.97,5.39,5.98,4.69,4.69,9.25,15.45,10.77,3.65,11.71,9.73,6.37,3.45,7.93,11.79,7.38,11.87,8.02,6.25,11.47,6.13,2.79,2,,,
Total,69.37,62.32,62.9,82.48,56.58,57.89,56.44,67.83,55.88,59.37,67.2,70.78,66.48,58.43,67.43,64.87,80.3,59.49,70.58,59.69,77.92,75.33,77.48,87.58,72.33,64.38,76.39,76.87,,,
