"LEADHILLS",,,,,,,,,,,,
Grid ref,NS886147,Long,-3.761222,Lat,55.413520,,,,,,,
Station no,RR1003,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.39,4.16,7.79,7.00,7.39,2.49,4.70,3.74,5.28,6.46,,
February,6.16,1.79,2.58,14.03,4.86,3.39,2.29,4.50,3.44,2.97,,
March,0.46,2.95,4.77,16.49,4.14,8.79,3.59,5.78,7.07,4.72,,
April,4.95,6.33,4.28,1.77,6.97,4.71,1.03,3.58,1.70,4.50,,
May,6.82,3.50,2.48,2.37,3.63,3.52,7.90,6.36,3.16,3.21,,
June,4.41,5.08,2.60,2.11,2.73,2.28,2.37,6.18,4.11,3.63,,
July,4.28,1.40,6.02,4.42,4.51,4.51,4.18,4.56,4.68,7.12,,
August,5.44,9.17,3.48,7.42,6.17,6.71,7.02,8.74,5.20,5.16,,
September,3.92,6.61,3.72,2.49,4.75,4.15,1.47,0.92,10.01,2.82,,
October,6.48,7.11,3.64,14.39,2.98,4.59,11.09,12.01,1.71,11.03,,
November,8.16,6.29,5.32,5.29,3.62,6.78,5.41,5.48,4.83,3.06,,
December,9.90,7.93,16.22,4.70,4.83,5.97,5.39,5.98,4.69,4.69,,
Total,69.37,62.32,62.90,82.48,56.58,57.89,56.44,67.83,55.88,59.37,,
Calc annual,69.37,62.32,62.90,82.48,56.58,57.89,56.44,67.83,55.88,59.37,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
