WATERBEACH-BOTTISHAM-LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL509657,Long,0.210007,Lat,52.268756,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1210/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.48,2.54,2.6,3.17,1.28,1.9,2.05,3.41,1.06,1.2,0.87,1.24,2.9,1.02,0.84,1.62,1.17,0.77,0.72,1.35,2.72,1.23,1.74,2.57,1.83
February,,,,,,2.15,4.7,0.36,0.24,1.54,1.89,0.34,0.39,0.72,1.09,1.16,1.23,0.53,0.61,2.64,2.37,0.52,1.07,1.72,1.47,0.51,2.03,2.32,0.14,1.3
March,,,,,,0.46,3.13,0.28,1.35,2.47,2.88,1.15,0.59,0.39,0.75,1.06,3.7,0.44,0.69,0.44,2.77,2.04,0.33,2.19,1.39,0.27,1.65,0.82,2.67,1.51
April,,,,,,1.34,2.31,0.23,2.38,1.2,0.65,0.74,0.63,1.36,0.75,0.82,1.17,1.63,1.36,1.92,3.02,1.18,1.9,0.25,0.31,1.22,0.07,1.13,1.35,0.32
May,,,,,,0.96,2.11,1.88,0.92,0.84,1.19,1.76,1.17,1,1.96,2.69,0.3,3.36,2.33,2.86,2.06,0.89,1.45,2.74,2.23,0.51,0.68,2.61,0.46,0.7
June,,,,,,2.32,1.43,0.67,1.79,0.35,2.84,0.44,2.38,0.81,1.5,2.41,2.41,2.5,1.43,1.41,1.66,1.2,2.34,1.91,1.74,1.93,1.66,5.17,1.17,2.48
July,,,,,,4.46,2.13,1.25,1.44,3.5,1.61,2.82,0.73,2.17,1.19,2.38,1.26,1.11,2.48,5.6,0.53,0.55,2.03,2.49,0.16,3.18,1.71,3.69,3.93,3.96
August,,,,,,0.63,1.06,1.85,1.88,0.18,3.03,1.05,1.7,2.15,1.97,4.01,0.33,4.24,1.38,2.81,2.51,2.37,2.05,3.84,1.24,4.5,1.47,3.92,0.59,3.35
September,,,,,,2.71,2.59,2.96,1.63,0.67,0.5,1.05,1.34,2.53,2.35,2.36,0.96,1.7,0.3,2.98,2.89,2.35,1.1,1.38,2.57,0.97,3.54,2.49,0.04,5.64
October,,,,,,1.6,2.05,1.9,3.71,1.32,1.97,3.33,1.48,2.93,2.05,1.78,0.27,1.6,3.54,0.49,0.75,1.31,2.63,1.87,2.67,0.77,1.11,2.02,1.74,4
November,,,,,,1.82,1.45,1.62,2.49,5.52,2.42,2.16,0.99,2.35,0.39,3.6,1.09,1.27,1.7,3.44,2.82,2.5,1.05,3.18,1.25,0.88,1.31,1.57,1.24,3.71
December,,,,,,1.43,2.12,2.13,0.86,1.25,0.87,1.22,0.95,0.63,1.79,1.35,2.43,1.31,0.99,1.06,1.32,1.41,0.58,1.87,1.54,1.84,1.61,2.47,2.97,2.83
Total,,,,,,22.36,27.62,17.73,21.86,20.12,21.75,18.11,15.76,18.1,16.99,24.49,16.39,22.59,17.83,26.49,24.32,17.49,17.3,24.16,17.92,19.3,18.07,29.95,18.87,31.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
