SUNNINGHILL-FROGNAL-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU939680,Long,-0.65147892,Lat,51.403267,Elevation,200,ft.,,,,,,,,,,,,,
Station no,768,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.19,4.51,1.48,3.52,1.35,2.22,2.28,1.79,,,,,,
February,,,,,,,,4.36,1.91,0.7,0.79,1.83,0.13,4.1,0.14,,,,,,
March,,,,,,,,2.91,2.04,0.02,1.63,0.24,1.56,3.12,2.45,,,,,,
April,,,,,,,,2.05,1.87,1.17,2.27,3.78,2.79,0.92,1.82,,,,,,
May,,,,,,,,1.41,1.99,1.79,2.97,3.35,4.9,2.07,0.54,,,,,,
June,,,,,,,,3.49,2.35,1.1,1.48,1.61,1.21,2.3,1.08,,,,,,
July,,,,,,,,2.51,1.7,2.31,2.49,4.07,2.15,1.35,2.39,,,,,,
August,,,,,,,,3.77,2.16,1.54,3.06,5.21,1.66,0.59,2.49,,,,,,
September,,,,,,,,5.57,1.12,0.21,3.64,2.33,2.93,2.15,1.29,,,,,,
October,,,,,,,,1.51,4.34,3.35,1.17,0.67,4.96,1.93,1.83,,,,,,
November,,,,,,,,3.71,1.94,7.07,4.76,3.1,1.51,1.01,2.18,,,,,,
December,,,,,,,,2.98,2.66,6.58,2.63,0.83,0.58,0.53,6.06,,,,,,
Total,,,,,,,29.41,36.46,28.59,27.32,30.41,28.37,26.6,22.35,24.06,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Frognal. Altitudes match.,,,,,,,,,,,,,,,,,,,,,
New gauge is noted as being 20 yards (or feet) W of old.,,,,,,,,,,,,,,,,,,,,,
"1920s record has the year heading of 1931, which has been taken as 1930 like all other records",,,,,,,,,,,,,,,,,,,,,
