SUNNINGHILL-FROGNAL-NEW-GAUGE,,,,,,,,,,
Grid ref,SU939680,Long,-0.65147892,Lat,51.403267,Elevation,200,ft.,,
Station no,768/1,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,0.77,4.58,4.57,,,
February,,,,,2.78,2.03,4.51,,,
March,,,,,0.3,1.8,3.62,,,
April,,,,,3.29,1.93,2.42,,,
May,,,,,1.27,0.62,2.82,,,
June,,,,,4.1,2.81,2.06,,,
July,,,,,0.5,3.89,0.98,,,
August,,,,,2.65,1.07,1.3,,,
September,,,,,3.61,2.2,1.77,,,
October,,,,,3.4,1.82,2.65,,,
November,,,,2.05,4.98,3.14,1.5,,,
December,,,,5.68,2.93,2.19,3.99,,,
Total,,,,,30.58,28.08,32.19,,,
,,,,,,,,,,
NGR is Frognal. Altitudes match.,,,,,,,,,,
New gauge is noted as being 20 yards (or feet) W of old.,,,,,,,,,,
