ROSS PONTSHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO637218,Long,-2.528907,Lat,51.89356,Elevation,288,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,5.68,5.64,2.73,0.27,0.96,,1.85,1.61,2.16,2.14,4.4,0.43,2.67,0.46,4.36,3.59,1.6,1,,,,,,,
February,,,,,,1.14,0.68,0.38,1.05,1.16,0.67,0.48,1.74,2.79,2.2,0.09,0.24,2.6,1.31,3.33,6.69,1.47,1.27,,,,,,,
March,,,,,,1.91,2.35,1.37,4.56,3.4,1.02,1.76,1.04,0.33,1.47,2.45,2.82,3.73,0.56,0.55,1.3,2.45,1.89,,,,,,,
April,,,,,,2.49,2.55,1.54,1.35,4.44,0.78,1.5,1.16,0.07,1.7,2.91,0.86,2.27,2.24,2.57,1.29,2.8,2.82,,,,,,,
May,,,,,,5.4,4.83,1.56,1.19,3.29,1.74,4.02,1.14,1.44,2.83,0.46,0.26,1.25,3.87,2.52,3.12,1.93,1.95,,,,,,,
June,,,,,,1.19,1.76,1.48,2.51,0.46,1.6,2.26,2.38,0.9,1.41,1.27,2.6,3.56,1.01,1.57,1.45,2.68,2.91,,,,,,,
July,,,,,,2.47,2.47,2.14,4.7,2.09,2.55,1.7,2.51,2.66,2.58,2.72,1.26,1.27,0.59,0.46,1.83,3.17,0.94,,,,,,,
August,,,,,,1.06,1.06,1.55,1.59,2.13,3.22,3.81,2.34,2.02,2.99,2.42,1.33,4.25,3.44,2.33,3.2,1.86,2.9,,,,,,,
September,,,,,,2.55,2.47,2.23,0.7,1.83,1.15,1.34,2.16,1.02,3.98,0.88,6.23,2.5,0.63,2.18,0.5,1.78,1.93,,,,,,,
October,,,,,,5.13,5.21,1.84,0.67,3.08,1.18,7.73,1.72,2.11,5.04,3.01,3.02,1.53,5.02,3.21,4.24,1.48,3.29,,,,,,,
November,,,,,,3.11,3.02,3.53,7.74,1.45,2.05,2.73,2.5,1.23,4.25,4.43,0.88,1.84,2.64,2.51,2.69,1.06,2.86,,,,,,,
December,,,,,,4.5,4.5,2.14,4.37,1.18,1.03,4.05,0.75,4.04,2.05,1.99,3.7,3.87,2.77,3.27,5.71,4.32,1.82,,,,,,,
Total,,,,,,36.63,36.54,22.49,30.7,25.47,,33.23,21.05,20.77,32.64,27.03,23.63,31.34,24.54,28.86,35.61,26.6,25.58,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1890 January unreliable, removed along with total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
