ABBOTTS-ANN-THE-OLD-MANOR,,,,,,,,,,,,,,,,,,,,
Grid ref,SU330435,Long,-1.52913,Lat,51.18987,Elevation,225,ft,,,,,,,,,,,,
Station no,661/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,2.38,2.77,2.3,2.37,0.57,5.04,5.92,3.64,4.65,2.58,1.88,2.86,,,,,,,,
February,2.22,0.11,4.16,0.09,3.72,2.76,5.53,0.67,1.49,2.91,2.76,0.54,,,,,,,,
March,0.46,1.99,3.31,3.4,0.57,2.77,4.03,0.35,1.04,1.56,3.11,2.05,,,,,,,,
April,3.04,3.04,1.72,1.59,4.36,2,2.46,0.05,2.57,1.22,2.03,1.8,,,,,,,,
May,2.96,5.05,1.53,0.88,0.93,0.59,2.41,1.73,0.97,0.39,1.78,3.34,,,,,,,,
June,2.49,1.82,2.27,1.17,4.64,2.53,1.47,0.68,1.86,0.68,1.16,0.13,,,,,,,,
July,4.38,2.84,2.27,1.48,0.88,4.19,1.25,2.66,5.61,2.73,2.13,1.65,,,,,,,,
August,3.2,0.92,0.53,2.47,2.01,0.42,1,1.67,2.65,0.06,4.56,3.41,,,,,,,,
September,1.9,4.39,3.46,2,3.67,3.21,1.94,1.51,0.81,1.93,0.32,1.54,,,,,,,,
October,0.47,4.47,1.8,1.4,4.74,2.1,4.15,3.49,4.68,3.63,1.8,3.99,,,,,,,,
November,3.93,1.45,0.75,1.72,6.75,3.17,1.7,4.82,5.81,6.68,2.53,1.32,,,,,,,,
December,0.74,1.27,0.45,8.34,3.84,3.46,3.09,4.77,1.83,1.42,1.59,,,,,,,,,
Total,28.17,30.12,24.55,26.91,36.68,32.24,34.95,26.04,33.97,25.79,25.65,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1930 Apr Continuation for Abbot Ann Rectory Gauge moved 250yds WSW,,,,,,,,,,,,,,,,,,,,
British rainfall does not have a station in Abbots Ann in 1930,,,,,,,,,,,,,,,,,,,,
1940 Jan Part estimated for snow,,,,,,,,,,,,,,,,,,,,
1942 Dec Part estimated ,,,,,,,,,,,,,,,,,,,,
1942 Dec Station terminated,,,,,,,,,,,,,,,,,,,,
