WELLINGTON-OLD-WAY-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST147198,Long,-3.21598,Lat,50.97174,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.11,1.52,4.11,1.14,4.6,6.81,0.73,3.49,0.87,1.04,5.34,6.13,5.26,2.86,4.57,,,,,,,,
February,,,,,,,,,1.49,0.39,4.58,2.03,3.58,1.1,3.73,5.21,4.9,1.02,1.65,3.44,1.19,0.21,3.42,,,,,,,,
March,,,,,,,,,3.18,4.49,0.86,2.73,6.15,4.59,5.85,0.67,3.88,3.64,1.57,4.18,3.96,1.81,2.19,,,,,,,,
April,,,,,,,,,2.12,2.44,2.45,2.25,0.19,3.87,1.83,0.98,0.68,1.48,2.72,2.45,4.19,0.66,4.73,,,,,,,,
May,,,,,,,,,1.78,1.37,2.63,1.3,1.74,3.33,1.58,1.89,3.48,2.06,1.75,0.87,2.21,2.17,0.91,,,,,,,,
June,,,,,,,,,0.6,3.32,3.07,1.9,5.33,0.85,3.8,0.8,1.73,4.54,0.97,0.81,1.83,0.57,0.72,,,,,,,,
July,,,,,,,,,1.5,2.02,2.62,0.28,2.7,0.25,5.21,3.73,1.04,2.77,4.3,2.01,5.13,0.68,3.95,,,,,,,,
August,,,,,,,,,2.5,2.23,4.68,1.72,8.29,1.58,3.59,3.12,5.83,5.39,2.86,3.26,1.45,1.97,3.03,,,,,,,,
September,,,,,,,,,3.38,2.34,0.44,1.07,1.13,2.35,2.1,0.94,2.42,2.11,6.14,1.94,1.63,1.31,2.24,,,,,,,,
October,,,,,,,,,4.23,6.04,7.34,3.46,5.45,3.9,4.1,3.88,5.88,4.78,1.86,3.24,3.98,1.31,1.4,,,,,,,,
November,,,,,,,,,1.49,1.27,5.31,3.89,1.97,3.55,3.38,2.32,5.33,1.25,2.66,2.46,2.09,2.68,1.73,,,,,,,,
December,,,,,,,,,2.91,4.85,7.08,9.11,4.85,2.33,6.8,6.04,4.04,0.82,3.78,6.25,3.4,2.38,6.3,,,,,,,,
Total,,,,,,,,,26.29,32.28,45.17,30.88,45.98,34.51,42.7,33.07,40.08,30.9,35.6,37.04,36.32,18.61,35.19,,,,,,,,
