WELLINGTON (OLD WAY HOUSE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6857,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.26,2.86,4.57,,,,,,,,,
February,1.19,0.21,3.42,,,,,,,,,
March,3.96,1.81,2.19,,,,,,,,,
April,4.19,0.66,4.73,,,,,,,,,
May,2.21,2.17,0.91,,,,,,,,,
June,1.83,0.57,0.72,,,,,,,,,
July,5.13,0.68,3.95,,,,,,,,,
August,1.45,1.97,3.03,,,,,,,,,
September,1.63,1.31,2.24,,,,,,,,,
October,3.98,1.31,1.40,,,,,,,,,
November,2.09,2.68,1.73,,,,,,,,,
December,3.40,2.38,6.30,,,,,,,,,
Total,36.32,18.61,35.19,,,,,,,,,
Calc annual,36.32,18.61,35.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
