"INNERLEITHEN, THE GLEN",,,,,,,,,,,,
Grid ref,NT299331,Long,-3.113683,Lat,55.586474,,,,,,,
Station no,5073/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.00,2.80,3.25,5.30,,,,,,,,
February,3.50,0.70,2.20,8.00,,,,,,,,
March,0.40,2.50,1.40,9.00,,,,,,,,
April,2.70,2.00,1.55,,,,,,,,,
May,1.60,1.70,1.33,,,,,,,,,
June,3.60,2.70,1.60,,,,,,,,,
July,2.70,0.70,1.40,,,,,,,,,
August,4.00,5.40,1.40,6.00,,,,,,,,
September,2.20,2.10,3.20,2.80,,,,,,,,
October,4.00,3.20,2.40,9.80,,,,,,6.48,,
November,4.20,3.40,3.50,1.70,,,,,,,,
December,7.60,6.00,6.03,4.70,,,,,,,,
Total,40.50,33.20,29.26,,,,,,,,,
Calc annual,40.50,33.20,29.26,47.30,0.00,0.00,0.00,0.00,0.00,6.48,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
