GRASSINGTON-FAR-CROFT-PARK-GRANGE-FARM,,,,,,,,,,,,,,,,,,,,
Grid ref,SD990635,Long,-2.0167724,Lat,54.067437,Elevation,630,ft.,,,,,,,,,,,,
Station no,3339/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,,,6.32,5.53,5.71,4.24,4.1,9.57,2.44,3.06
February,,,,,,,,,,,4.72,,3.17,2.4,7.06,5.3,3,3.78,4.39,7.39
March,,,,,,,,,,,4.15,3.14,1.43,0.62,1.58,1.45,7.02,2.45,1.65,1.66
April,,,,,,,,,,,2.25,2.02,2.11,1.74,3.35,1.7,4.95,2.4,4.75,3.43
May,,,,,,,,,,,1.79,3.72,3.76,2.92,4.21,1.75,2.63,1.65,2.78,2.2
June,,,,,,,,,,,1.13,1,3.69,2.62,3.81,3.37,4.25,4.61,0.77,3.5
July,,,,,,,,,,,2.08,3.93,2.6,3.23,2.29,3.48,2.26,0.97,3.35,3.6
August,,,,,,,,,,,6.62,3.7,5.44,2.03,4.41,7.19,0.21,4.36,2.98,6
September,,,,,,,,,,,0.7,2.61,4.43,5.94,3.1,7.36,2.81,3.81,0.78,6.47
October,,,,,,,,,,,6.31,4.58,3.67,4.43,6.44,2.43,1.51,2.33,6.13,3.74
November,,,,,,,,,,7.47,3.02,1.62,3.12,7.51,0.5,6.77,7.41,2.58,6.34,6.01
December,,,,,,,,,,4.85,3.02,4.22,2.43,4.45,3.21,3.59,3.5,4.16,8.66,2.5
Total,,,,,,,,,,,,,42.17,43.42,45.67,48.63,43.65,42.67,45.02,49.56
,,,,,,,,,,,,,,,,,,,,
"NGR is Park Grange Farm. Stated altitude unclear, OS figure used.",,,,,,,,,,,,,,,,,,,,
"Note says gauge moved to Far Croft in 1942 and Far Croft is the other side of the road with same NGR or possibly 100m E. The note also says the move was 1 mile WNW, which is odd.",,,,,,,,,,,,,,,,,,,,
Feb and Mar 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,
