REDEWATER BLAKEHOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY760999,Long,-2.379476,Lat,55.292625,Elevation,830,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,1.57,3.89,2.32,2.5,1.16,3.83,1.49,1.45,,1.07,4.4,4.43,1.85,1.8,5.03,2.37,0.7,,,,
February,,,,,,,,,,1.34,1.13,0.15,2.19,3.73,5.5,0.81,1.05,2.85,1.45,2.25,2.48,0.8,1.46,3.38,2.42,1.25,,,,
March,,,,,,,,,,2.29,2.56,3.72,0.96,0.77,2.2,3.55,3.1,4.47,0.95,1.87,0.84,2.65,1.55,3.17,1.85,3.2,,,,
April,,,,,,,,,,3.72,1.06,1.95,1.31,0.58,1.3,1.4,1.35,1.7,2.64,3.52,2.77,1.9,1.75,0.99,2.3,2.05,,,,
May,,,,,,,,,,1.63,1.76,2.39,3.14,2.03,3.75,1.32,1.1,1,1.85,4.57,1.66,2.15,1.37,1.3,2.2,,,,,
June,,,,,,,,,,0.32,3.32,1.28,4.1,1.92,3.25,1.95,2.35,2.9,1.57,1.2,4.6,1.9,1.28,2.02,1,,,,,
July,,,,,,,,,,4.02,2.09,4.5,2.23,3.15,2.75,4.65,3.25,1.85,0.4,2.8,1.92,1.4,3.35,4.4,1.4,,,,,
August,,,,,,,,,,3.1,4.02,6.75,4.45,3.31,3.75,6.3,1.95,4.1,4.3,0.82,5.3,3.3,1.87,3.35,2.32,,,,,
September,,,,,,,,,,1.93,1.64,7.66,2.93,1.71,1.25,0.65,4.5,2.6,1.3,4.24,1.62,1.85,1.33,3.2,0.97,,,,,
October,,,,,,,,,,5.29,2.04,3.05,5.18,1.82,4.75,5.15,6.1,1.75,6.74,1.86,5.2,2.45,2.21,8.6,0.8,,,,,
November,,,,,,,,,,0.9,5.3,3.05,1.65,3.15,2.6,4.4,1.25,3.23,2.93,2.77,4.45,4.55,1.83,2.12,1.55,,,,,
December,,,,,,,,,,2.11,1.65,6.51,1.07,3.15,3.16,2.3,5.2,4.75,3.9,2.89,5,3,4.14,2.27,2.15,,,,,
Total,,,,,,,,,,28.22,30.46,43.33,31.71,26.48,38.09,33.97,32.65,31.2,29.1,33.19,40.27,27.8,23.94,39.83,21.33,,,,,
