"BATH CROSSWAYS MONKTON COMBE",,,,,,,,,,,,
Grid ref,ST779623,Long,-2.318787,Lat,51.359335,,,,,,,
Station no,1976,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.74,1.49,1.37,,
February,,,,,,,,1.48,1.69,0.86,,
March,,,,,,,,0.98,3.37,4.21,,
April,,,,,,,,3.68,3.48,2.34,,
May,,,,,,,,3.55,1.29,1.72,,
June,,,,,,,,2.94,0.73,3.06,,
July,,,,,,,,3.93,3.14,3.07,,
August,,,,,,,,2.63,4.69,3.31,,
September,,,,,,,,0.68,2.80,3.87,,
October,,,,,,,,5.74,2.38,6.00,,
November,,,,,,,,2.91,1.24,1.24,,
December,,,,,,,,5.80,2.48,4.83,,
Total,,,,,,,,36.06,28.78,35.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.06,28.78,35.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
