EARLS-COLNE-COLNE-HOUSE,,,,,,,,,,,
Grid ref,TL852292,Long,0.69230069,Lat,51.930496,Elevation,180,ft,,,
Station no,RR7405,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.47,2.64,1.37,3.24,1.68,2
February,,,,,,2.23,2.31,3.28,1.11,0.63,0.47
March,,,,,,1.04,0.07,1.93,1.93,0.05,1.24
April,,,,,,2.12,3.9,1.76,0.99,1.73,2.24
May,,,,,,2.85,1.42,0.58,1.37,1.43,2.18
June,,,,,,0.47,2.92,3.23,2.32,0.73,0.77
July,,,,,,2.59,2.48,3.67,1.87,2.35,2.74
August,,,,,,3.07,1.26,2.96,2.59,1.4,2.13
September,,,,,,2.64,1.47,3.88,0.68,1.09,4.12
October,,,,,4.39,2.96,2.68,2.13,2.69,3,1.06
November,,,,,3.07,1.87,4.05,2.56,2.2,4.59,3.26
December,,,,,2.34,1.72,0.47,2.14,3.38,4.11,
Total,,,,,,25.03,25.67,29.49,24.37,22.79,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1930 Dec estimated,,,,,,,,,,,
