"HENLEY-ON-THAMES (LONGLANDS)",,,,,,,,,,,,
Grid ref,SU762827,Long,-0.902714,Lat,51.538068,,,,,,,
Station no,1076/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.79,0.94,1.26,2.92,3.80,1.82,2.97,3.23,2.84,,
February,,0.73,2.00,2.82,1.58,0.25,3.25,3.60,0.13,2.33,,
March,,2.24,0.51,2.38,1.06,0.69,1.81,1.45,2.60,1.26,,
April,,1.51,2.59,0.53,0.54,1.95,0.23,0.93,2.59,0.60,,
May,,2.97,1.79,3.07,4.42,0.20,1.43,2.13,0.51,2.14,,
June,,1.33,1.68,3.98,2.37,2.72,1.38,3.90,1.55,1.13,,
July,,0.39,3.73,3.17,0.18,1.95,3.82,2.73,2.04,2.83,,
August,,2.76,1.89,3.81,0.54,5.06,3.35,4.15,1.10,2.68,,
September,3.17,2.91,2.31,1.68,2.34,2.76,2.83,4.69,0.10,3.32,,
October,1.11,3.74,3.15,2.18,2.90,1.50,1.88,2.96,2.92,6.46,,
November,6.15,3.01,1.19,5.00,1.63,0.65,2.18,2.68,2.53,4.10,,
December,1.91,2.93,0.56,2.56,2.63,3.79,2.45,3.19,4.44,3.41,,
Total,,26.31,22.34,32.44,23.11,25.32,26.43,35.38,23.74,33.10,,
Calc annual,12.34,26.31,22.34,32.44,23.11,25.32,26.43,35.38,23.74,33.10,,
Difference,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
