HENLEY-IN-ARDEN (HILLFIELD) - Monthly gauge,,,,,,,,,,,
Grid ref,SP156690,Long,-1.7725615,Lat,52.318884,Elevation,450,ft,,,
Station no,RR7812,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.76,,2.37,1.45,,2.7,,,
February,,,2.38,,0.56,2.19,,2.45,,,
March,,,1.68,,0.8,0.69,,2.27,,,
April,,,2.86,,3.4,2.19,,1.66,,,
May,,,1,,5.15,3.09,,0.94,,,
June,,,0.58,,1.64,0.13,,3.91,,,
July,,,4.7,,3.07,3.25,,3.68,,,
August,,,5.6,,3.08,2.29,,4.06,,,
September,,,2.45,,3.3,3.37,,4.31,,,
October,,,0.27,,3.77,3.48,,1.65,,,
November,,,1.21,,2,1.44,,3.13,,,
December,,,2.99,,2.1,2.06,,3.25,,,
Total,,,28.48,,31.24,25.63,,34.01,,,
,,,,,,,,,,,
1927 Feb,,,,,,,,,,,
