KENDAL NATLAND PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SD521897,Long,-2.737546,Lat,54.300651,Elevation,260,ft,,,,,,,,,,,,
Station no,RR6242,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,2.81,4.67,9.33,4.45,6.31,1.98,4.6,2.37,3.91,1.11,,
February,,,,,,,,,0.73,3.56,0.73,0.81,2.02,6.8,7.63,0.56,3.14,4.05,,
March,,,,,,,,,3.44,3.5,5.27,2.14,1.14,1.43,3.76,5.18,5.84,7.32,,
April,,,,,,,,,2.82,2.09,1.64,2.07,1.55,0.88,2.28,3.08,1.8,3.06,,
May,,,,,,,,,2.15,3.3,3.11,2.27,6.06,2.89,4.14,0.96,0.4,2.13,,
June,,,,,,,,,2.2,0.93,4.71,1.22,3.67,0.94,3.24,2.76,3.54,3.03,,
July,,,,,,,,,6.31,3.36,4.46,3.77,2.09,4.4,3.82,7.44,4.41,1.77,,
August,,,,,,,,,3.92,5.64,6.09,11.33,8.68,4.92,4.69,6.78,2.49,5.17,,
September,,,,,,,,,1.59,2.42,5.14,7.76,8.2,5.91,0.46,1.43,6.15,5.43,,
October,,,,,,,,,5.87,5.58,2.85,4.61,5.01,5.68,4.19,4.58,4.28,2.88,,
November,,,,,,,,,6.73,3.81,6.92,5.1,4.64,2.38,5.55,4.63,1.64,6.75,,
December,,,,,,,,,5.31,4.57,0.59,10.52,3.01,5.01,6.28,5.06,7.24,7.67,,
Total,,,,,,,,,43.88,43.43,50.84,56.05,52.38,43.22,50.64,44.83,44.84,50.37,,
