ST-JOHNS-DEVONPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX408538,Long,-4.2396508,Lat,50.362518,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,9.24,1.14,7.21,2.33,5.94,0.79,1.92,2.38,4,4.27,2.5,5.22,3.47,2.28,1.57,6.84,3.33,1.9,3.01,4.4,6.01,1.25,3.41,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.47,4.72,2.15,1.97,5.49,3.6,4.7,2.46,5.4,4.27,4.06,1.75,0.58,0.73,2.94,1.55,0.02,2.89,6.42,2.97,0.04,0.71,4.36,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.93,4.36,3.36,1.53,0.54,2.04,4.4,1.06,1.21,3.92,1.82,3.3,1.67,4.21,4.73,1.93,2.49,1.62,0.2,2.24,2.76,4.12,5.69,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.32,3.74,5.16,4.06,2.95,2.58,1.18,6.16,1.02,1.81,3.96,2.12,1.03,1.06,1.54,3,1.47,1.54,0.37,2.98,2.34,0.34,4.96,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.26,0.15,3.42,3.94,2.54,1.16,1,0.99,2.61,1.19,3.52,2.09,2.07,2.09,2.85,2.13,3.24,1.21,1.02,2.62,0.77,0,1.59,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,3.61,1.68,1.22,1.71,8.04,0.86,4.03,3.9,2.72,0.78,2,0.73,0.19,2.48,0.73,3.79,2.78,1.39,0.67,2.84,2.48,1.97,2.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.57,1.27,3.36,1.53,4.65,3.48,2.4,4.51,2.55,3.67,0.39,3.67,1.33,5.96,3.67,5.27,2.28,1.11,4.38,5.12,3.71,1.78,0.86,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.31,5.28,6.34,5.45,6.07,0.87,3.67,3.02,1.1,1.54,1.97,2.68,1.58,3.53,2.89,2.32,7.33,4.98,1.69,3.8,3.28,2.12,5.02,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,5.73,6.07,3.48,4.64,4.55,3.82,2.89,4.31,6.77,2.2,5.35,2.76,3.51,1.08,1.7,0.92,2.8,2.51,2.84,2.77,0.46,5.03,3.04,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,7.59,4.51,2.97,3.78,2.38,4.88,2.78,6.82,3.18,1.54,6.24,5.42,4.76,1.91,5.95,1.31,9.28,3.84,3.18,5.05,4.36,3.24,1.2,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
