ALLENHEADS (Bewick),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY852483,Long,-2.2188,Lat,54.8296,Elevation,1360,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,8.4,6.81,1.8,3.87,3.72,2.7,7.22,8.43,1.62,4.69,11.24,4.08,3.95,6.97,,,,4.38,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,4.3,2.93,2.78,3.64,2.56,1.03,3.1,5.25,6.03,2.21,4.27,4.03,1.97,6.57,,,,5.05,,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,3.02,1.78,3.24,0.51,4.37,3.81,7.26,5.34,5.61,4.11,2.71,6.42,1.49,2.88,,,,2.13,,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.32,5.39,1.36,2.42,4.19,2.71,1.55,5.49,3.33,2.16,3.59,5.41,1.05,1.34,4.44,,,,1.9,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,3.28,1.26,2.72,2.98,5.02,1.74,4.26,0.12,2.92,1.58,4.18,2.92,2.3,6.88,1.52,,,,3.37,,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,3.94,2.89,6.28,6.57,3.59,4.1,1.73,3.33,6.62,2.5,5.86,4.34,3.77,0.75,2.82,,,,2.04,,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,6.45,5.77,3.99,3.62,1.78,1.71,2.85,2.91,3,5.27,3.45,1.41,1.42,2.16,4.78,,,,0.86,,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,5.36,3,3.77,4.29,5.43,4.27,3.62,2.8,5.06,4.61,3.57,4.56,1.66,4.78,5.89,,,,2.53,,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,6.89,5.39,3.01,1.05,8.74,6.18,3.76,5.31,1.65,5.67,1.84,6.67,4.11,0.53,7.45,,,,3.42,,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,6.72,6.31,4.6,8.24,2.17,3.58,5.9,5.51,7.55,2.1,8.71,6.45,11.69,14.26,2.37,,,,10.73,,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,8.98,1.73,8.1,4.54,2.52,3.3,3.58,4.55,4.91,12.1,1.9,6.11,4.42,5.21,6.76,,,,2.47,,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,14.73,3.62,8.15,2.42,9.93,4.3,4.86,5.07,5.85,3.64,6.53,6.41,2.98,4.26,7.92,,,,7.64,,7.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,51.08,53.5,43.95,51.39,42.54,39.65,52.67,59.91,52.89,50.64,62.5,47.93,47.58,60.37,,,,46.52,,73.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
