KIDDERMINSTER BRINTON PARK,,,,,,,,,,,,
Grid ref,SO828762,Long,-2.254127,Lat,52.383558,,,,,,,
Station no,RR6161,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.94,0.97,0.59,2.18,2.10,0.72,2.94,0.85,0.61,0.96,,
February,3.40,1.03,0.92,1.36,3.02,0.59,1.47,0.53,0.97,0.43,,
March,0.79,1.31,0.74,3.25,1.17,2.50,0.73,0.62,2.61,2.31,,
April,1.08,1.55,1.44,1.45,1.08,1.55,1.11,1.43,2.28,1.53,,
May,1.78,0.73,1.86,4.22,3.32,0.36,2.03,2.71,1.91,1.06,,
June,2.24,2.73,2.44,2.37,0.43,3.59,3.03,2.06,2.79,3.79,,
July,2.06,2.20,0.73,1.93,2.51,1.17,0.83,2.00,1.88,2.85,,
August,2.14,1.83,3.93,4.31,1.97,4.37,1.01,2.61,2.50,1.45,,
September,0.56,0.92,0.67,3.32,1.75,0.87,0.79,0.45,1.52,2.62,,
October,2.39,0.97,1.89,5.27,0.58,0.95,4.00,5.03,1.56,2.19,,
November,1.73,0.60,1.24,1.48,1.02,2.26,2.31,2.12,1.42,0.44,,
December,4.38,3.03,1.04,1.33,1.59,0.60,1.56,2.37,1.79,3.25,,
Total,25.49,17.87,17.49,32.47,20.54,19.53,21.81,22.78,21.84,22.88,,
Calc annual,25.49,17.87,17.49,32.47,20.54,19.53,21.81,22.78,21.84,22.88,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
