KIDDERMINSTER (BRINTON PARK),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6161,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.65,2.59,3.73,1.48,2.71,1.71,2.93,2.47,4.09,,,
February,1.02,0.23,2.71,5.17,0.56,2.77,2.31,2.36,,,,
March,2.22,1.15,1.78,1.38,1.37,0.66,0.51,2.32,,,,
April,3.43,0.76,1.89,2.56,2.73,2.11,1.88,1.28,,,,
May,2.33,0.88,0.98,1.49,6.63,2.55,2.36,1.53,,,,
June,2.07,0.36,0.75,0.35,1.68,0.12,1.49,4.07,,,,
July,3.50,0.52,4.58,2.87,4.23,3.08,3.05,3.75,,,,
August,0.81,3.34,3.40,1.52,3.15,1.79,2.14,3.82,,,,
September,1.71,0.75,2.28,2.00,3.50,3.66,0.88,4.08,,,,
October,3.09,1.62,0.33,3.39,3.82,3.97,2.49,1.73,,,,
November,0.60,1.91,0.84,1.51,2.02,1.39,5.17,3.07,,,,
December,2.01,1.76,3.21,2.61,2.60,2.54,0.45,2.03,,,,
Total,25.44,-999.00,26.48,26.33,35.00,26.35,25.66,32.51,,,,
Calc annual,25.44,15.87,26.48,26.33,35.00,26.35,25.66,32.51,4.09,0.00,0.00,
Difference,0.00,-1014.87,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,
