LOCH MERKLAND (BEN KEE),,,,,,,,,,,,
Grid ref,NC409368,Long,-4.715743,Lat,58.290919,,,,,,,
Station no,5801/5/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,15.00,14.00,8.90,3.88,12.50,13.05,14.30,9.63,6.36,,
February,,10.15,11.50,9.20,-999.00,8.00,8.00,13.49,4.33,8.00,,
March,,6.60,7.90,4.00,-999.00,3.00,8.15,9.32,3.35,1.44,,
April,,3.60,9.05,2.05,-999.00,6.78,5.88,7.06,10.54,7.40,,
May,,9.80,5.04,7.50,-999.00,4.80,7.50,9.46,6.38,2.24,,
June,,8.84,3.90,8.00,-999.00,6.60,5.06,4.61,10.10,5.79,,
July,,7.75,7.30,8.40,-999.00,10.40,8.02,4.20,10.60,4.37,,
August,7.30,11.70,7.70,8.00,-999.00,8.08,19.50,6.68,9.78,4.91,,
September,5.30,11.05,12.45,8.00,-999.00,5.00,14.54,4.00,5.15,2.14,,
October,5.75,11.45,5.60,16.00,-999.00,10.13,15.75,11.92,9.50,3.55,,
November,13.14,9.85,17.00,15.50,-999.00,9.00,8.50,6.05,10.20,7.45,,
December,15.40,10.70,6.50,19.95,28.00,13.00,18.30,10.91,7.25,15.48,,
Total,-999.00,116.49,107.94,115.50,-999.00,97.29,132.25,102.00,96.81,69.13,,
Calc annual,46.89,116.49,107.94,115.50,31.88,97.29,132.25,102.00,96.81,69.13,,
Difference,-1045.89,-0.00,0.00,-0.00,-1030.88,0.00,-0.00,0.00,-0.00,0.00,,
