LOCH MERKLAND (BEN KEE),,,,,,,,,,
Grid ref,NC409368,Long,-4.715743,Lat,58.290919,Elevation,1700,ft,,
Station no,5801/5/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,15,14,,3.88,,13.05,14.3,9.63,6.36
February,,10.15,11.5,,,,8,13.49,4.33,8
March,,6.6,7.9,,,,8.15,9.32,3.35,1.44
April,,3.6,9.05,,,,5.88,7.06,10.54,7.4
May,,9.8,5.04,,,,7.5,9.46,6.38,2.24
June,,8.84,3.9,,,,5.06,4.61,10.1,5.79
July,,7.75,7.3,,,,8.02,4.2,10.6,4.37
August,7.3,11.7,7.7,,,,19.5,6.68,9.78,4.91
September,5.3,11.05,12.45,,,,14.54,4,5.15,2.14
October,5.75,11.45,5.6,,,,15.75,11.92,9.5,3.55
November,13.14,9.85,17,,,,8.5,6.05,10.2,7.45
December,15.4,10.7,6.5,,,,18.3,10.91,7.25,15.48
Total,,116.49,107.94,,,,132.25,102,96.81,69.13
,,,,,,,,,,
Named Ben Hee but NGR lies below,,,,,,,,,,
 Beinn Direach NC 40620 38048,,,,,,,,,,
,,,,,,,,,,
Wrongly transcribed as Kee should read HEE,,,,,,,,,,
,,,,,,,,,,
BR 1952 NP High Ja Fe Est,,,,,,,,,,
BR 1953 P Au Sep Estd,,,,,,,,,,
BR 1954 NP not monthly deleted,,,,,,,,,,
BR 1955 -100 Deleted,,,,,,,,,,
BR 1956 NP not monthly deleted,,,,,,,,,,
BR 1957 P,,,,,,,,,,
,,,,,,,,,,
Station no,5801/5/5,,,,,,,,,
Midas,14318,to 1978,,,,,,,,
Hyd Stn,749017,,,,,,,,,
