EAST MALLING BROADWATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ688566,Long,0.419082,Lat,51.283529,Elevation,169,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,0.96,2,0.55,3.38,3.07,0.79,0.96,2.19,3.45,1.02,4.05,1.68,1.74,1.09,2.51,1.27,2.67,3.7,0.57,3.27,1.23,1.33,3.05,4.28,3.08,2.64,3.08,1.3,2.14,2.06,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.41,2.44,1.3,2.51,4.5,1.16,1.43,1.27,3.44,0.88,2.26,1.65,1.7,0.94,3.71,1.47,1.82,0.92,2.67,3.6,4.32,0.72,1.01,1.82,0.59,1.15,1.85,3.65,0.92,3.72,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.74,3.71,2.27,0.8,1.06,2.52,1.4,2.62,1.7,2.96,1.95,0.98,2.63,3.82,1.39,2.75,3.38,2.62,5.61,1.16,4.36,2.21,0.86,3.26,1.11,1.55,2.14,2.13,1.25,0.88,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.61,2.24,1.27,3.3,0.73,2.34,0.53,1.92,1.04,2.6,0.88,2.63,2.78,2,1.75,2.29,0.09,3.27,1.25,1.34,1.26,2.38,2.18,3.03,3,1.48,2.66,2.16,3.72,2.36,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.44,1.24,4.14,1.65,1.01,0.87,2.71,3.16,1.51,1.91,1.37,2.69,1.95,1.8,3.28,0.87,1.27,0.97,1.04,3.64,2.11,2.66,2.21,0.18,1.1,1.74,0.99,2.96,3.17,2.27,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,3.66,2.15,1.97,0.66,3.31,0.63,2.65,6.43,1.65,4.55,2.56,2.29,2.49,2.75,2.72,2.12,3.53,0.73,1,0.57,2.85,2.36,1.64,1.14,0.75,0.14,1.57,0.86,2.36,0.3,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.47,0.32,0.3,3.39,1.13,2.45,1.85,4.91,1.52,1.37,0.76,0.86,3.57,4.15,2.45,0.66,1.04,1.86,1.01,3.89,1.27,4.48,5.01,1.95,3.62,0.52,3,1.02,3.94,3.82,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.8,2.83,1.52,1.94,2.58,1.73,3.05,3.29,1.15,2.52,0.74,2.49,3.56,2.4,2,1.07,5,1.75,0.64,3.05,3.42,4.77,1.45,2.6,1.52,1.06,2.49,2.06,2.59,2.23,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,6.36,2.81,0.43,3.43,1.03,1.49,1.84,2.15,1.78,1.9,1.49,0.56,1.69,4.17,0.76,1.59,2.63,1.69,0.91,2.53,1.13,1.33,4.85,1.15,3.72,1.12,2.8,1.91,3.99,2.44,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,4.39,0.31,2.87,2.35,2.22,1.9,2.73,5.27,2.1,1.44,4.3,4.53,2.11,5.63,2.39,4.54,3.17,4.14,2.21,1.53,3.19,4.56,2.29,1.02,1.04,0.73,1.48,6.27,4.19,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,1.39,1.18,2.87,4.35,2.55,0.84,1.64,2.61,1.25,3.34,5.55,2.05,0.92,1.11,3.64,5.66,2.25,4.02,3.82,3.21,4.16,1.78,2.24,2.26,1.02,1.69,1.51,2.29,3.41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,3.28,3.23,2.07,1.53,3.1,3.93,2.03,1.6,2.72,0.88,1.84,2.83,2.35,3.49,3.15,4.88,2.57,1.14,5.93,6.53,2.78,2.36,2.25,4.34,2.39,1.85,3.42,2.37,3.55,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,28.51,24.46,21.56,29.29,26.29,20.65,22.82,37.42,23.31,25.37,27.75,25.24,27.49,33.35,29.75,29.17,29.42,26.81,26.66,34.32,32.08,30.94,29.04,27.03,22.94,15.67,26.99,28.98,35.23,30.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
