NORWICH EATON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG210070,Long,1.263112,Lat,52.615774,Elevation,98,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,3.42,2.29,1.64,1.19,0.27,2.82,1.98,1.12,3.26,1.84,3.05,1.97,0.97,0.12,0.95,2.12,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.48,1.56,2.47,0.82,1.18,1.03,1.93,1,0.4,3.02,2.55,1.14,3.78,1.85,3.17,1.6,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.61,1.98,3.55,1.71,1.29,3.34,1.87,0.9,1.37,3.1,2.2,1.01,0.93,0.94,1.79,1.35,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.77,1.66,1.45,0.93,2.97,2.79,1,1.03,0.75,2.84,2.72,1.07,2.47,1.48,1.05,3.07,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,3.14,0.98,2.69,0.59,1.66,2.84,2.28,1.49,1.55,0.72,1.85,4.21,2.31,0.55,0.76,1.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.06,0.51,2.17,1.35,2.66,1.72,1.47,2.07,1.85,2.02,1.99,1.27,3.38,3.3,1.22,3.88,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,3.47,1.6,1.62,1.89,2.45,2.9,2.43,1.63,5.76,2.24,2.54,0.85,4.77,5.69,1.73,3.06,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.95,2.55,2.45,2.25,0.79,3.15,2.11,1.53,0.74,1.45,4.09,6.46,5.3,1.99,3.84,1.71,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.68,2.18,2.9,1.55,4.86,2.6,3,2.71,2.59,5.76,3.11,2.53,3.46,2.73,3.14,2.58,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,2.6,2.92,3.37,3.7,2.18,3.27,2.13,1.97,3.45,0.89,1.77,1.99,0.73,4.11,3.17,6.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,0.6,2.08,2.08,1.99,3.06,4.46,1.18,2.81,5.75,2.81,2.61,7.54,1.6,1.97,1.98,2.52,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,3.4,4.29,5.26,3.7,1.43,3.84,0.1,1.43,1.48,3.41,2.43,2.3,2.6,2.2,3.05,4.16,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,29.18,24.6,31.65,21.67,24.8,34.76,21.48,19.69,28.95,30.1,30.91,32.34,32.3,26.93,25.85,33.75,27.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
