INVERNESS (HARBOUR ROAD),,,,,,,,,,
Grid ref,NH668462,Long,-4.223558,Lat,57.486398,Elevation,13,ft,,
Station no,5707/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.76,3.4
February,,,,,,,,,0.52,1.38
March,,,,,,,,,1.14,0.34
April,,,,,,,,,2.74,1.47
May,,,,,,,,,0.99,0.26
June,,,,,,,,,2.13,2.51
July,,,,,,,,2.44,2.17,2.57
August,,,,,,,,4.04,1.17,8.53
September,,,,,,,,2.45,0.55,1.86
October,,,,,,,,2.41,3.05,1.34
November,,,,,,,,0.65,3.5,1.3
December,,,,,,,,2.37,1.72,1.93
Total,,,,,,,,,22.44,26.89
,,,,,,,,,,
No of  small G moves,,,,,,,,,,
1958 -999 Deleted,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5707/6,,,,,,,,,
Midas,115,to 2015,,,,,,,,
Hyd Stn,805389,,,,,,,,,
