INVERNESS (CAMERON BARRACKS),,,,,,,,,,
Grid ref,NH679454,Long,-4.204791,Lat,57.47954,Elevation,50,ft,,
Station no,5701/6/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.99,,1.69,1.4,1.48,3.34,,,
February,,1.33,,0.92,1.79,,,,,
March,,1.49,0.89,1.45,0.9,,,,,
April,,,2.86,0.56,0.9,1.95,,,,
May,,1.99,3.42,2.59,1.66,1.49,,,,
June,,1.53,2.57,2,0.64,2.63,,,,
July,3.2,,4.23,2.54,0.5,5.05,,,,
August,4.27,,2.38,2.69,0.51,,,,,
September,0.9,,1.58,2.34,2.11,,,,,
October,0.66,,0.27,4.66,2.13,,,,,
November,4.66,2.81,2.3,2.12,0.73,,,,,
December,3.48,,1.84,4.37,5.5,,,,,
Total,,,,27.93,18.77,,,,,
,,,,,,,,,,
BR 1954 P,,,,,,,,,,
BR 1955 P,,,,,,,,,,
,,,,,,,,,,
Station no,5701/6/2,,,,,,,,,
Midas,14689,,,,,,,,,
Hyd Stn,805475,,,,,,,,,
