MINEHEAD-ALCOMBE,,,,,,,,,,
Grid ref,SS969463,Long,-3.47661,Lat,51.20731,Elevation,85,ft,,
Station no,RR7662,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,2.36,1.5,4.25,3.89,1.11,5.54,,,
February,,0.87,0.93,2.47,5.01,1.36,3.06,,,
March,,2.29,2.01,5.19,2.48,3.82,1.72,,,
April,,2.82,0.99,2.58,0.86,1.66,1.23,,,
May,,0.68,2.19,2.5,2.11,0.13,1.3,,,
June,,2.95,2.53,3.16,0.64,3.03,1.94,,,
July,,2.26,1.6,2.54,2.78,0.74,0.41,,,
August,,2.14,1.97,3.14,1.92,3.9,2.39,,,
September,,1.71,2.57,4.05,1.5,1.52,0.59,,,
October,5.07,1.83,3.48,8.64,1.2,2.56,4.95,,,
November,4.38,1.23,3.26,1.96,1.75,3.49,3.6,,,
December,5.27,5.77,2.71,3.39,2.21,1.01,1.76,,,
Total,,26.91,25.74,43.87,26.35,24.33,28.49,,,
,,,,,,,,,,
Rose Bank Alcombe,,,,,,,,,,
1900 Sept 26 Gauge moved 1 mile SSE from Minehead,,,,,,,,,,
