MINEHEAD-ALCOMBE,,,,,,,,,,,
Grid ref,SS984441,Long,-3.455146,Lat,51.187066,Elevation,50,ft,,,
Station no,RR7662,,,,,,,,,,
,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900
January,,,,,,3.4,0.5,2.73,0.56,5.91,3.86
February,,,,,,0.14,0.27,3.56,1.73,3.88,6.43
March,,,,,,3,3.54,4.49,1.51,1.3,1.25
April,,,,,,1.79,0.76,2.52,1.52,3.55,0.93
May,,,,,,0.26,0.05,1.33,4.34,2.24,1.29
June,,,,,,1.9,1.81,2.93,0.99,0.83,1.6
July,,,,,,2.74,0.65,0.97,0.07,0.47,1.83
August,,,,,,3,1.37,2.7,2.71,1.82,2.63
September,,,,,,0.55,5.98,4,1.01,2.93,
October,,,,,,6.36,3.91,0.83,6.4,3.89,
November,,,,,,6.44,1.08,2.16,4.09,3.16,
December,,,,,,4.17,5.14,5.36,3.84,3.98,
Total,,,,,,33.75,25.06,33.58,28.77,33.96,
,,,,,,,,,,,
3 Blenheim Terrace Blenheim Road Minehead,,,,,,,,,,,
1900 Sept 26 Gauge moved to Alcombe 1 mile SSE,,,,,,,,,,,
