COULTER WATERHEAD,,,,,,,,,,,,,,,,,,,,
Grid ref,NT037275,Long,-3.527245,Lat,55.531695,Elevation,1080,ft,,,,,,,,,,,,
Station no,RR3136,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,6.33,4.46,2.54,6.52,1.23,3.5,3.03,3.03,2.65,,,,,,,,
February,,,,8.64,3.26,2.73,2.85,2.52,3.75,1.79,8.18,4.43,,,,,,,,
March,,,,10.65,3.44,7.56,2.84,3.4,6.45,5.13,6.13,2.64,,,,,,,,
April,,,,1.22,5.18,4.07,2.33,2.6,2.2,4.5,4.29,6.28,,,,,,,,
May,,,,3.38,3.79,2.12,7.16,4.4,3,3.05,2.03,4.03,,,,,,,,
June,,,,1.81,3.34,1.64,2.54,4.56,2.76,4.21,1.67,3.25,,,,,,,,
July,,,,4.1,4.15,3.31,3.13,4.52,2.89,4.05,6.02,2.05,,,,,,,,
August,,,,6.56,4.71,4.44,8.89,5.6,3.31,4.5,7.2,1.92,,,,,,,,
September,,,,3.25,2.9,2.99,0.88,1.06,6.88,3.72,1.26,2.92,,,,,,,,
October,,,,10.98,2.68,3.71,7.22,10.35,1.42,9.68,3.03,4.46,,,,,,,,
November,,,,4.1,2.35,5.24,4.39,4.28,3.48,2.72,3.93,,,,,,,,,
December,,,,4.65,3.95,3.95,2.84,4.66,3.25,4.97,5.44,,,,,,,,,
Total,,,,65.67,44.21,44.3,51.59,49.18,42.89,51.35,52.21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average of 2 Gauges,,,,,,,,,,,,,,,,,,,,
