COULTER RESERVOIR (NEW G),,,,,,,,,,,,,,,,,,,,
Grid ref,NT 04529 27036,Long,-3.513954,Lat,55.527688,Elevation,1250,ft,,,,,,,,,,,,
Station no,5164,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.21,1.13,1.1,3.65,5.42,4.06,2.98,5.75,5.25,6.74,4.24,
February,,,,,,,,,6.85,4.94,6.25,1.97,4.7,1.24,4.95,2.79,1,3.87,4.62,
March,,,,,,,,3.7,5.15,6.7,3.2,2.4,1.25,0.52,2.6,2.65,3.45,3.65,1.82,
April,,,,,,,,0.85,2.1,3.55,2.8,3.45,2.6,2.18,1.89,0.62,7.69,3.28,3.64,
May,,,,,,,,4.1,0.8,1.25,4.35,4.38,3.93,2.97,5.68,1,3.1,2.19,2.49,
June,,,,,,,,6.95,3.3,1.05,1.25,1.4,4.15,3.61,4.05,2.5,2.6,5.93,1.32,
July,,,,,,,,6.35,4.85,6.1,3.95,3.35,2.15,2.85,4.3,4.86,2.9,3.26,1.84,
August,,,,,,,,3.32,1.85,1.75,5.65,6.05,5.02,3.31,1.95,6.23,0,6.55,3.72,
September,,,,,,,,3.9,2.9,5.35,2.45,5.55,4.85,4.82,6.35,6.75,4,5.16,2.27,
October,,,,,,,,7.25,3,4.9,3.6,4.75,8.63,4.18,4.95,0.55,1.6,3.72,7.06,
November,,,,,,,,10.7,8.75,6.75,5.9,1.3,2.66,6.59,0.48,6.7,7.03,3.15,4.99,
December,,,,,,,,4.2,2.25,4.5,2.45,9.2,2.87,3.81,4.23,4.5,2.6,6.61,6.92,
Total,,,,,,,,,47.01,47.97,42.95,47.45,48.23,40.14,44.41,44.9,41.22,54.11,44.93,
