"COULTER RESERVOIR",,,,,,,,,,,,
Grid ref,NT036275,Long,-3.528829,Lat,55.531675,,,,,,,
Station no,5164,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.09,3.94,1.71,4.00,2.85,2.40,5.45,3.55,1.71,2.95,,
February,3.28,2.02,1.52,2.25,1.90,1.75,4.45,2.75,1.35,3.00,,
March,3.01,2.58,0.75,2.55,1.25,2.05,3.55,1.40,2.35,2.60,,
April,3.42,2.23,3.14,1.60,1.50,0.95,2.10,2.20,3.65,3.20,,
May,2.03,2.12,2.40,4.80,3.10,2.08,2.30,2.85,2.25,2.10,,
June,1.68,2.55,2.12,3.35,2.10,3.20,1.80,2.69,3.00,1.70,,
July,3.52,3.39,6.20,3.95,3.61,3.75,4.45,6.40,4.00,3.80,,
August,6.81,3.57,3.00,4.20,2.10,7.30,4.10,3.80,0.92,4.18,,
September,3.49,2.55,4.55,7.00,3.85,4.30,2.75,4.10,1.25,2.38,,
October,0.78,3.18,3.75,10.15,3.55,3.30,3.37,2.80,4.60,2.48,,
November,6.81,3.67,6.30,7.25,1.75,1.25,2.70,1.55,7.45,5.85,,
December,5.35,3.33,4.30,6.00,4.50,4.25,3.95,3.90,5.58,4.57,,
Total,44.27,35.13,39.74,57.10,32.06,36.58,40.97,37.99,38.11,38.81,,
Calc annual,44.27,35.13,39.74,57.10,32.06,36.58,40.97,37.99,38.11,38.81,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
