COULTER RESERVOIR NO.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT 04529 27036,Long,-3.513954,Lat,55.527688,Elevation,1250,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.4,5.56,6.19,3.47,3.4,7.49,2,4.32,4.78,7.82,8.1,5.3,3.5,5.11,5.33,9.53,6.7,10.9,1.9,9.61,4.38,11.69,7.64,9.15,2.64,6.71,10.59,7.96,,
February,,4.07,4.38,3.21,9.6,9.29,5.26,1.32,6.48,1.11,4.8,1.32,6.02,8.6,0.92,5.11,5.81,4.2,4.7,1.8,0.89,4.12,0.35,4.58,0.18,5.31,3.34,6.47,3.49,,
March,,2.17,5.37,5.7,7.1,2.27,2.6,1.9,2.07,4.35,7.92,8.91,3,3,0.93,1.53,,4.6,7.6,0.6,2.63,1.24,3.35,,3.34,2.46,3.16,2.46,3.7,,
April,,6.19,0.3,6.95,2.78,2.92,4.1,1.85,0.94,3.71,3.4,1.69,3.51,4.51,3.73,6.71,3.51,3.2,1.8,2.2,2.91,3.04,3.1,2.04,5.21,4.31,1.29,2.83,0.85,,
May,,3.97,1.6,4.2,2.68,2.1,4.95,2.8,3.1,1.89,6.1,2.98,3.83,3.52,4.31,7.31,4.41,2.3,2.1,5.1,1.97,2.84,3.54,3,4.86,0.95,0.78,2.1,4.86,,
June,,3.11,6.07,3.7,1.25,1.2,5.5,4.16,1.9,3.12,1.84,0.79,2.69,1.94,2.3,0.49,4.91,4.8,5.3,3.2,3.18,6.73,1.05,1.89,2.49,5.2,4.33,3.33,6.8,,
July,,2,3.42,1.05,3,6.05,5.5,1.9,3.32,0.68,5.07,5.32,5.51,4.89,4.43,2.33,3.42,4.9,4.3,3.5,3.61,5.22,7.51,,2.74,1.82,5.12,5.73,6.66,,
August,,1.94,4.35,2.55,4.4,2.78,4.5,6.61,2.59,4.61,6.37,7.48,4.5,9.51,5.42,4.5,4.2,7.1,8.5,7,9.57,3.85,2.56,3.18,6.94,2.48,2.62,2.92,2.45,,
September,,2.82,2.32,2.74,2.18,1.69,2.95,4.21,7.47,4.6,3.99,2.43,2.51,6.12,5.92,4.02,4.15,7.7,3.7,0.9,3.97,1.21,4.21,1.96,6.79,4.52,3.66,4.15,3.99,,
October,,4.15,4.69,3.59,2.37,2.6,7.31,7.11,7.3,2.9,3.31,4.1,2.78,6.83,4.31,6.41,4.92,6.6,8.2,7.1,9.32,4.64,8.17,4.38,7.46,7.56,4.52,5.44,8.3,,
November,,6.43,4.2,4.99,5.67,2.5,6.81,4.7,6.91,3.69,3.88,2.39,3.53,3.92,3.1,2,7.51,5.4,5.9,7.7,6.28,11.17,3.46,2.68,2.43,5.47,4.63,1.04,11.72,,
December,,10.59,8.4,3.07,12,7.8,5.2,2.7,6.6,7.81,5.91,5,6.9,4.5,9.63,5.31,1.12,1.6,4.5,13.7,7.23,4.21,12.53,0.98,8.94,3.28,8.54,2.96,5,,
Total,,49.84,50.66,47.94,56.5,44.6,62.17,41.26,53,43.25,60.41,50.51,50.08,60.84,50.11,51.05,,59.1,67.5,54.7,61.17,52.65,61.52,,60.53,46,48.7,50.02,65.78,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 M+T deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 M Au +T deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
