NORTH BALFERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX436511,Long,-4.4359982,Lat,54.830346,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,4.87,7.53,3.71,4.63,6.95,4,4.02,9.33,5.48,4.24,7.72,2.17,7.34,6.75,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,3.55,4.07,2.99,5.19,6.17,3.62,8.37,5.36,0.97,2.26,1.29,5.53,2.98,2.17,,,,,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.07,3.9,1.83,5.87,1.2,1.44,2.98,4.2,3.49,3.21,1.2,3.56,2.91,2.61,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.68,1.18,4.75,3.39,2.6,1.4,3.67,0.78,0.51,1.9,1.1,2.84,3.47,2.3,,,,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,3.92,1.17,2.45,3.07,1.23,3.01,0.83,2.58,1.9,0.95,2.83,0.19,3.08,3.29,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.97,3.3,1.65,0.73,0.76,2.69,2.55,5.28,1.59,1.39,3.23,3.92,4,2.55,,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,2.8,3,2.89,0.68,2.07,1.1,3.08,3.7,5.79,3.14,2.4,2.09,3.44,0.33,,,,,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,4.13,5.03,3.23,5.75,1.52,2.26,3.74,5.38,4.36,6.27,4.32,4.45,7.25,2.96,,,,,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1.4,5.83,3.11,2.71,5.9,3.37,1.77,5.93,3.32,3.24,7.04,4.62,2.03,1.3,,,,,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.06,3.24,6.12,5.92,1.87,7.47,4.32,4.96,5.46,8.03,5.72,6.6,7.48,3.05,,,,,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,4.16,5.47,1.17,2.96,5.01,2.52,5.23,5.46,1.82,5.7,4.91,3.21,10.43,2.2,,,,,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,4.14,4.15,3,9.49,5.08,1.97,5,9.26,1.65,4.38,2.67,7.85,6.43,0.4,,,,,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,38.75,47.87,36.9,50.39,40.36,34.85,45.56,62.22,36.34,44.71,44.43,47.03,60.84,29.91,,,,,47.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOT USED TYRain_1860-1869_07_pt1-page-006.csv - complete duplictae of page 5 which was used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
