NANTWICH-BROOKFIELD-HOUSE,,,,,,,,,,
Grid ref,SJ651516,Long,-2.522205,Lat,53.0605,Elevation,130,ft.,,
Station no,2763/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.58,3.31,0.99,1.84,2.15,3.99,1.3,2.51,3.03,5.11
February,1.99,1.15,1.53,2.49,1.67,0.32,2.1,4.12,0.28,2.24
March,4.44,1.14,0.99,2.39,2.39,1.26,2.05,1.18,1.58,1.25
April,1.7,2.14,2.75,0.42,1.39,1.86,0.25,0.52,3.47,1.32
May,3.13,1.8,1.61,2.45,2.74,0.54,1.22,2.19,1.45,1.54
June,1.04,2.01,1.78,4.29,3.01,1.64,1.62,4.37,1.93,2.62
July,1.56,1.95,3.08,3.18,0.6,3.44,6.2,3.22,1.92,3.42
August,3.66,1.74,2.52,3.35,1.06,6.27,4.45,3.45,0.59,4.61
September,1.97,2.01,2.54,2.24,2.27,2.08,5.61,4.21,0.15,3.86
October,0.99,3.73,2.02,4.69,1.72,2.37,2.21,2.56,3.37,3.75
November,6.26,1.8,1.71,4.78,1.54,0.94,1.45,1.75,2.82,3.88
December,3.46,3.47,1.23,3.29,2.71,2.48,1.73,2.83,4.5,2.23
Total,31.78,26.25,22.75,35.41,23.25,27.19,30.19,32.91,25.09,35.83
,,,,,,,,,,
NGR is from the 1950s record and is near Brookfield House.,,,,,,,,,,
Altitudes match. NGR could be 140m SW nearer the house,,,,,,,,,,
