DONCASTER-CAMPSMOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE538140,Long,-1.1881302,Lat,53.619787,Elevation,100,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,0.45,0.37,1.9,3.13,3.06,1.34,3.54,2.08,0.69,1.71,,,,,,,,,,,,,,,,,,,,,,,,3.47,1.17,,,,,
February,1.68,3,1.36,2.04,2.03,1.96,0.6,0.78,1.12,1.62,,,,,,,,,,,,,,,,,,,,,,,,0.73,1.05,,,,,
March,2.73,3.62,1.93,1.15,1.43,1.49,2.81,1.24,2.69,2.7,,,,,,,,,,,,,,,,,,,,,,,,2.47,1.6,,,,,
April,1.19,0.89,3.56,2.07,1.44,1.46,1.71,0.98,1.96,3.4,,,,,,,,,,,,,,,,,,,,,,,,2.63,0.52,,,,,
May,2.27,0.65,1.56,1.65,1.14,1.93,5.56,1.76,0.59,3.69,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.3,,,,,
June,2.27,-999,3.72,2.72,0.65,2.47,0.83,0.05,2.41,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.88,1.95,,,,,
July,5.25,-999,3.64,3.43,2.95,0.7,3.44,1.05,6.01,1.41,,,,,,,,,,,,,,,,,,,,,,,,0.64,3.16,,,,,
August,1.82,4.96,1.97,0.98,1.19,1.1,1.77,1.76,2.2,4.75,,,,,,,,,,,,,,,,,,,,,,,,1.1,2.02,,,,,
September,5.03,2.12,1.47,6.25,1.26,2.26,1.14,2.94,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,2.17,0.84,,,,,
October,6.7,2.71,4.97,3.41,1.06,4.98,3.83,1.42,0.97,3.45,,,,,,,,,,,,,,,,,,,,,,,,3.68,2.35,,,,,
November,1.64,2.06,3.31,2.51,1.06,2.04,1.31,1.74,4.31,0.63,,,,,,,,,,,,,,,,,,,,,,,,2.03,2.86,,,,,
December,3.12,2.75,3.81,0.79,1.85,0.66,4.4,1.49,1.85,1.62,,,,,,,,,,,,,,,,,,,,,,,,1.29,4.7,,,,,
Total,34.15,26,33.2,30.13,19.12,22.39,30.94,17.29,26.1,26.68,,,,,,,,,,,,,,,,,,,,,,,,23.02,23.52,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Campsmount. Altitudes match. 23 year gap!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23 year gap! British Rainfall 1890 report says ""no reply"" from this location, therefore unlikely there is a missing record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
