"CLUNY CASTLE",,,,,,,,,,,,
Grid ref,NN946943,Long,-3.738018,Lat,57.027726,,,,,,,
Station no,5694,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.30,3.97,2.35,4.52,2.46,3.03,5.75,3.56,3.14,3.37,,
February,2.69,2.25,2.77,2.19,2.84,2.82,3.09,2.43,1.90,4.03,,
March,1.84,1.74,1.62,2.11,0.90,2.89,3.75,1.78,1.77,0.72,,
April,4.33,2.15,2.54,1.54,0.98,1.85,1.47,1.67,2.91,2.94,,
May,1.15,2.70,3.18,3.30,2.67,2.41,1.33,3.89,2.23,0.94,,
June,1.36,2.28,2.24,2.28,1.18,2.72,2.22,1.56,2.89,2.29,,
July,3.28,1.97,4.14,2.11,0.85,4.25,3.37,3.98,3.24,1.81,,
August,4.29,4.29,3.81,2.42,0.77,6.15,4.52,3.88,1.98,5.65,,
September,1.84,3.14,3.63,4.18,4.03,4.74,3.11,3.96,0.88,2.80,,
October,1.09,4.54,1.87,7.88,4.82,4.98,4.50,4.67,6.13,2.12,,
November,4.35,3.64,5.55,6.12,1.21,3.74,1.47,0.94,4.50,2.93,,
December,6.06,5.42,5.86,9.50,7.73,6.89,5.04,3.56,5.18,4.63,,
Total,36.58,38.09,39.56,48.15,30.44,46.47,39.62,35.88,36.75,34.23,,
Calc annual,36.58,38.09,39.56,48.15,30.44,46.47,39.62,35.88,36.75,34.23,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
