"WESTON SUPER MARE TOWN HALL",,,,,,,,,,,,
Grid ref,ST325614,Long,-2.970584,Lat,51.347654,,,,,,,
Station no,2038,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.45,,6.90,,2.90,0.55,3.87,1.58,1.18,1.21,,
February,5.05,,3.35,,4.04,0.57,1.96,1.33,1.62,0.24,,
March,0.80,,6.95,,1.72,3.21,2.29,0.68,2.81,2.90,,
April,1.15,,6.15,,1.00,2.45,0.95,3.52,2.70,1.93,,
May,1.85,,5.10,,2.60,0.11,3.53,2.73,1.00,1.62,,
June,1.75,,8.05,,1.37,4.10,2.00,2.50,0.61,2.32,,
July,1.30,,5.30,,4.02,0.51,1.12,1.86,2.34,2.26,,
August,2.40,,9.45,,2.70,4.30,2.75,2.85,4.66,2.90,,
September,0.75,,7.00,,2.14,1.54,0.88,0.83,2.41,2.76,,
October,3.20,,13.10,,1.80,2.16,5.00,4.98,1.81,4.86,,
November,3.40,,5.05,,2.40,2.64,3.00,2.91,1.20,1.66,,
December,5.00,,9.80,,2.12,1.08,1.71,5.61,2.39,4.73,,
Total,31.10,,86.20,,28.81,23.22,29.06,31.38,24.73,29.39,,
Calc annual,31.10,0.00,86.20,0.00,28.81,23.22,29.06,31.38,24.73,29.39,,
Difference,0.00,NaN,0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
