WESTON-SUPER-MARE-CLARENCE-PARK (Town Hall),,,,,,,,,,,,,,,,,,,,
Grid ref,ST320611,Long,-2.9766,Lat,51.3458,Elevation,21,ft,,,,,,,,,,,,
Station no,2038,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,-999,1.57,,,2.9,0.55,3.87,1.58,1.18,1.21,3.3,0.81,4.75,5.45,1.06,,,,,
February,-999,0.83,,,4.04,0.57,1.96,1.33,1.62,0.24,3.71,2.27,2.37,0.63,2.18,,,,,
March,-999,1.72,,,1.72,3.21,2.29,0.68,2.81,2.9,0.4,2.21,4.93,3,5.37,,,,,
April,-999,2.42,,,1,2.45,0.95,3.52,2.7,1.93,2.13,2.25,0.35,2.68,1.69,,,,,
May,-999,,,,2.6,0.11,3.53,2.73,1,1.62,2.01,1.12,1.82,1.85,1.43,,,,,
June,-999,,,,1.37,4.1,2,2.5,0.61,2.32,5.01,2.07,4.42,1.28,1.97,,,,,
July,-999,,,,4.02,0.51,1.12,1.86,2.34,2.26,1.66,0.06,2.77,0.68,,,,,,
August,2.29,,,,2.7,4.3,2.75,2.85,4.66,2.9,6.71,1.48,8.07,0.92,,,,,,
September,0.71,,,,2.14,1.54,0.88,0.83,2.41,2.76,0.15,1.11,0.76,2.23,,,,,,
October,3.05,,,,1.8,2.16,5,4.98,1.81,4.86,5.3,2.4,4.24,3.52,,,,,,
November,3.25,,,,2.4,2.64,3,2.91,1.2,1.66,5.07,4.23,2.06,3.67,,,,,,
December,4.68,,,,2.12,1.08,1.71,5.61,2.39,4.73,4.11,7.34,5.35,2.14,,,,,,
Total,29.4,,,,28.81,23.22,29.06,31.38,24.73,29.39,39.56,27.35,41.89,28.05,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1900 Aug Gauge moved from High Street to Town Hall (Continuation record),,,,,,,,,,,,,,,,,,,,
1900 estimated (on Town Hall TYR),,,,,,,,,,,,,,,,,,,,
1902 estimated,,,,,,,,,,,,,,,,,,,,
1914 Jul Gauge moved to Clarence Park (Continuation record),,,,,,,,,,,,,,,,,,,,
