"WESTON-SUPER-MARE (CLARENCE PARK (MWR)",,,,,,,,,,,,
Grid ref,ST318602,Long,-2.980403,Lat,51.336782,,,,,,,
Station no,2038,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.30,3.06,0.56,2.58,3.34,3.32,3.00,1.75,3.14,3.32,,
February,3.54,0.58,1.58,3.25,2.27,0.17,2.77,3.49,0.27,1.99,,
March,3.99,3.06,0.76,2.67,0.99,0.58,2.47,0.88,3.21,1.70,,
April,3.42,1.88,3.51,0.55,1.49,1.13,0.14,0.87,2.29,2.23,,
May,3.49,4.17,1.77,1.46,3.91,0.67,1.34,2.41,1.02,1.30,,
June,0.73,2.32,2.36,3.02,3.10,1.56,1.44,3.65,1.16,1.38,,
July,1.68,0.89,3.99,3.69,0.14,2.66,3.84,1.85,2.78,4.84,,
August,5.07,5.58,3.98,2.80,0.47,3.91,3.46,2.33,3.09,3.99,,
September,2.73,3.55,3.35,4.67,1.91,3.92,3.97,4.96,0.31,4.07,,
October,0.84,3.88,2.69,4.16,1.80,2.51,3.43,3.23,3.37,8.70,,
November,7.47,4.88,2.13,5.16,2.90,0.70,3.25,2.22,4.58,5.21,,
December,2.41,2.58,1.25,2.68,4.05,3.12,2.04,4.22,5.88,4.27,,
Total,38.67,36.43,27.93,36.69,26.37,24.25,31.15,31.86,31.10,43.00,,
Calc annual,38.67,36.43,27.93,36.69,26.37,24.25,31.15,31.86,31.10,43.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
