"SGURR FINISGAIG",,,,,,,,,,,,
Grid ref,NN190758,Long,-4.968738,Lat,56.838297,,,,,,,
Station no,5733,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.21,6.71,5.66,6.68,6.03,7.85,21.50,9.30,4.35,9.75,,
February,4.87,4.30,8.00,6.58,6.78,4.65,6.58,4.55,4.10,10.04,,
March,4.76,7.43,3.40,8.20,1.93,3.60,7.95,2.40,10.13,2.04,,
April,8.87,4.00,7.17,4.87,5.00,5.00,3.70,4.18,8.50,9.35,,
May,1.12,4.12,5.14,7.53,4.00,7.75,2.50,7.50,1.55,4.95,,
June,3.91,5.24,1.98,5.90,5.10,4.25,3.60,3.52,7.50,4.30,,
July,5.17,5.23,6.35,5.41,0.83,9.25,7.90,5.45,7.15,4.65,,
August,7.34,5.11,7.68,6.18,2.58,6.25,8.80,6.28,7.90,7.62,,
September,8.41,6.42,7.61,10.78,9.20,9.75,5.35,6.60,2.69,5.65,,
October,3.68,10.70,7.35,16.83,9.80,8.75,13.08,11.79,10.60,3.75,,
November,12.09,3.75,12.76,11.18,5.00,7.55,3.15,2.27,11.85,12.08,,
December,10.93,7.60,9.83,11.40,14.00,18.07,13.75,9.40,14.45,9.86,,
Total,79.36,70.61,82.93,101.54,70.25,92.72,97.86,73.24,90.77,84.04,,
Calc annual,79.36,70.61,82.93,101.54,70.25,92.72,97.86,73.24,90.77,84.04,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
