SGURR FINISGAIG,,,,,,,,,,
Grid ref,NN190758,Long,-4.968738,Lat,56.838297,Elevation,1850,ft,,
Station no,5733,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,9.07,17.54,7.94,4.91,,,,
February,,0.19,5.24,3.45,10.47,4.06,,,,
March,,,6.14,8.54,5.92,6.46,,,,
April,,,7.5,9.19,6.33,3.97,,,,
May,,4.01,3.78,8.26,1.25,3.03,,,,
June,,1.63,3.9,3.36,8.33,2.98,,,,
July,,,5.57,5.97,3.07,8.99,,,,
August,,4.06,7.59,7.73,7.86,7,,,,
September,,,2.34,14.24,13.87,5.18,,,,
October,,,10.7,16.13,15.79,,,,,
November,,,4.44,2.76,9.31,,,,,
December,,,1.78,17.51,4.58,,,,,
Total,,,68.05,114.68,94.72,,,,,
,,,,,,,,,,
1932 Figures deleted Gauge leaking,,,,,,,,,,
