"CHRISTCHURCH WINKTON LODGE",,,,,,,,,,,,
Grid ref,SZ162959,Long,-1.771674,Lat,50.762468,,,,,,,
Station no,RR4778,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.87,1.49,0.79,1.98,3.64,0.97,5.80,0.91,0.89,0.89,,
February,3.55,1.06,1.20,1.53,2.82,0.86,2.88,1.04,1.11,0.27,,
March,1.06,2.32,1.84,2.77,1.21,4.18,1.01,0.49,2.82,3.80,,
April,1.24,2.10,1.12,2.27,0.96,1.42,0.95,3.99,2.05,1.26,,
May,1.05,0.85,2.03,1.96,2.64,0.36,2.28,1.51,1.76,2.02,,
June,2.02,1.21,2.65,1.96,0.66,2.28,1.38,1.62,0.69,2.99,,
July,0.63,2.17,1.52,2.98,1.76,0.30,1.42,1.29,1.53,2.13,,
August,2.40,2.07,4.51,3.12,3.34,3.10,0.63,1.67,3.67,2.45,,
September,0.70,2.69,1.70,2.03,2.69,1.90,0.64,0.55,1.61,2.65,,
October,2.35,1.95,1.79,7.03,2.29,2.09,6.41,7.83,1.73,7.19,,
November,3.47,0.46,2.77,1.41,1.06,4.44,4.01,2.81,0.80,0.74,,
December,4.19,3.26,1.62,2.24,3.47,0.77,2.31,3.56,3.14,3.80,,
Total,25.53,21.63,23.54,31.28,26.54,22.67,29.72,27.27,21.80,30.19,,
Calc annual,25.53,21.63,23.54,31.28,26.54,22.67,29.72,27.27,21.80,30.19,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
