BERKELEY-CHANTRY-COTTAGE,,,,,,,,,,
Grid ref,ST684991,Long,-2.4585355,Lat,51.689758,Elevation,60,ft,,
Station no,RR6980,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,3.88,3.46,4.44,4.21,
February,,,,,,2.34,3.51,2.11,1.93,
March,,,,,,1.27,1.8,3.6,2.7,
April,,,,,,0.8,1.82,2.25,1.94,
May,,,,,,2.07,0.77,2.72,1.71,
June,,,,,,1.61,2.91,1.16,0.51,
July,,,,,,3.34,2.32,2.71,0.29,
August,,,,,,3.53,3.57,1.58,5.84,
September,,,,,,0.03,7.91,2.06,2.7,
October,,,,,,5.21,2.74,2.86,2.89,
November,,,,,,2.98,2.06,1.33,2.37,
December,,,,,,2.31,4.04,1.97,5.45,
Total,,,,,,29.37,36.91,28.79,32.54,
