BRIDGNORTH-MORVILLE-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO668940,Long,-2.4909704,Lat,52.542834,Elevation,320,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2279/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.55,2.35,3.88,3.05,5.27,3.18,1.52,2.45,2.16,4.47,1.62,0.68,2.1,2.43,0.71,1.4,2.43,2.58,1.35,2.22,2.47,5.57
February,,,,,,,,,1.05,2.2,3.23,0.87,1.29,1.51,1.62,2.07,1.44,1.44,0.82,4.55,2.56,0.53,1.68,2.29,1.59,0.47,2.46,3.87,0.23,3.82
March,,,,,,,,,1.75,1.56,2.78,1.83,1.13,0.43,1.17,0.86,5.02,1.13,1.86,0.95,4.63,1.73,0.99,2.03,3.12,1.43,1.85,0.91,2.38,1.56
April,,,,,,,,,1.66,3.18,1.08,1.59,0.86,1.12,0.83,1.3,2.38,1.92,2.25,1.62,1.85,1.87,3.03,0.38,1.24,1.82,0.41,0.41,3.41,1.48
May,,,,,,,,,1.25,2.25,2.2,3.76,2.87,1.12,3.51,3.07,2.96,1.81,2.36,1.37,3.49,2.51,2.19,2.94,5.1,0.67,1.23,2.19,1.71,1.94
June,,,,,,,,,1.07,1.18,1.96,1.52,1.59,1.03,2.67,2.46,1.17,3.34,0.48,1.17,0.71,1.74,1.55,2.88,3.25,2.86,1.36,3.78,0.9,2.17
July,,,,,,,,,3.89,2.31,2.16,1.51,1.88,2.2,1.69,1.62,4.59,1.39,2.33,2.38,1.24,1.08,2.31,2.08,0.69,2.43,3.96,3.02,1.3,2.77
August,,,,,,,,,1.67,0.13,2.82,1.47,1.36,2.57,3.82,5.52,0.87,4.43,1.24,3.53,3.76,4.05,2.47,2.8,2.23,4.21,3.79,4.64,0.57,2.3
September,,,,,,,,,0.4,0.83,1.23,1.66,3.3,2.76,1.57,3.97,0.85,2.17,1.09,3.78,1.63,1.26,2.36,2.1,2.18,3.5,4.84,4.63,0.07,5.22
October,,,,,,,,,3.13,3.64,1.09,1.81,2.18,3.47,4.06,0.71,0.52,2.46,4.82,1.08,0.96,4.35,1.68,3.11,1.73,2.14,1.47,2.6,2.49,6.18
November,,,,,,,,,4.68,6.09,2.95,0.96,2.23,3.82,0.38,5.19,1.89,1.46,2.79,4.1,7.02,2.7,1.64,6.57,2.82,0.74,2.43,1.72,2.62,5.99
December,,,,,,,,,1.98,1.38,1.41,3.25,1.32,1.97,2.94,3.04,2.19,5.16,1.22,1.69,2.62,2.64,1.27,2.05,2.44,3.16,1.62,2.65,5.11,3.27
Total,,,,,,,,,28.08,27.1,26.79,23.28,25.28,25.18,25.78,32.26,26.04,31.18,22.88,26.9,32.57,26.89,21.88,30.63,28.82,26.01,26.77,32.64,23.26,42.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR from 1950s records and is Morville Hall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
