WESTMINSTER SPRING GARDENS GAUGE NO. 1 (ROOF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ299803,Long,-0.128946,Lat,51.507148,Elevation,95,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,38/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,1.84,0.8,3.1,3.93,1.77,2.94,1.94,1.06,1.52,2.73,1.76,0.78,2.85,1.03,4.27,1.1,2.21,0.2,0.82,1.02,1.79,1.8,0.93,2.78,0.94,0.57,0.68,1.91,,0.28,1.05,2.5,1.1,0.58,1.56,0.57,2.18,2.4,0.48,0.59,1.83,1.64,1.1,3.31,0.65,1.24,0.52,1.35,1.13,3.49,2.18,0.46,3.9,1.11,1.21,2.74,2.71,2.4,,,,,,,,,,
February,0.35,0.63,1.23,3.37,1.11,0.86,2.15,0.56,0.87,0.77,1.24,0.79,0.71,1.48,1.69,1.08,3.45,1.81,2.3,1.04,2.8,0.89,2.11,0.95,0.35,0.66,1.66,0.89,,1.28,2.5,1.43,0.1,0.21,2.44,1.09,1.67,3.62,0.78,0.81,0.74,2.65,0.65,1.6,0.96,1.28,0.28,2.15,1.19,1.5,0.74,2.22,3.27,3.37,0.85,0.95,2.39,0.61,,,,,,,,,,
March,0.63,2.26,0.77,1.26,1.58,0.77,1.31,1.74,0.67,1.62,1.2,0.42,0.45,2.48,2.17,0.85,0.51,0.5,1.61,0.89,0.57,1.09,1.38,0.69,0.99,2.4,1.12,1.49,1.24,0.84,0.33,0.86,0.9,2.75,2.92,1.07,0.35,0.73,1.87,1.38,1.82,1.46,3.14,0.77,0.7,1.97,2.29,0.85,1.34,2.33,2,4.03,0.73,3.89,1.83,0.93,3.39,1.21,,,,,,,,,,
April,0.6,0.71,0.27,1.46,1.75,1.28,0.98,0.37,2.33,1.06,0.51,0.96,1.43,1.59,2.47,4.29,2.46,1.99,0.4,1.93,1.35,0.79,1.95,1.13,1.3,1.72,1.52,1.88,0.77,0.91,0.03,1.11,1.26,0.45,1.67,0.93,2.01,0.68,1.64,0.35,1.7,0.96,1.3,0.61,2.83,1.92,1.64,1.48,1.36,0.02,2.45,0.67,1.11,1.29,1.89,2.7,3,2.48,,,,,,,,,,
May,0.99,1.6,2.39,1.62,1.49,1.01,2.6,0.66,1.17,2.57,1.17,1.1,1.22,0.62,1.93,2.98,2.94,0.26,1.03,0.93,1.45,0.6,1.87,4.32,1.17,0.84,2.97,0.9,2.21,1.43,0.48,1.34,0.28,0.11,0.88,1.7,1.11,0.9,0.67,2.04,3.18,1.8,1.22,1.08,1.57,1.53,1.45,2.06,1.45,1.06,1.3,1.8,3.85,1.86,2.39,2.12,0.34,0.72,,,,,,,,,,
June,3.52,1.48,2.24,3.37,1.22,0.54,0.98,0.57,2.97,1.82,2.2,2.12,1.76,1.05,0.5,2.15,3.45,2.2,1.6,1.74,1.13,2.4,1.76,0.6,1.02,2.43,1.94,2.55,0.84,2.17,0.52,1.63,0.22,1.75,1.84,1.06,0.45,2,1.61,2.65,5.66,0.8,4.23,2.56,1.92,1.32,4.23,1.8,2.1,2.62,0.52,1.17,0.67,1.77,2.57,1.06,1.57,1.41,,,,,,,,,,
July,0.75,0.36,2.46,1.81,3.74,0.76,0.7,1.47,2.94,2.66,1.41,0.64,3.84,0.74,2.88,1.64,3.53,4.25,1.19,1.76,1.91,2.12,0.64,2,0.76,3.59,2.08,3.81,3.79,1.27,2.12,2.49,3.29,1.1,0.63,0.91,2.76,1.05,3.66,1.27,4.52,2.44,1.36,0.64,1.31,3.18,2.92,2.33,1.41,1.21,1.55,1.47,4.16,1.35,3.79,5.97,2.1,3.93,,,,,,,,,,
August,1.75,1.24,3.91,2.13,2.12,2.16,1.01,1.64,0.79,1.38,2.76,0.87,1.08,1.6,2.16,4.69,4.47,0.37,4.48,1.24,0.61,0.63,0.62,0.61,2.26,3.08,1.65,1.43,3.44,2.96,1.29,2.56,2.71,1.22,1.95,0.87,0.22,1.88,1.78,2.85,4.13,1.18,2.32,0.82,1.55,2.17,1.47,1.67,1.02,4.47,1.23,1.23,3.14,6.16,3.84,1.44,1.88,1.75,,,,,,,,,,
September,2.96,2.16,0.52,2.97,2.17,1.59,3.63,1.67,4,1.15,2.34,1.5,2.27,1.9,0.74,1.09,2.59,3.8,1.7,1.96,3,1.42,4.18,1.41,1.42,0.97,1.39,0.48,1.22,2.25,0.75,0.87,1.41,5.67,3.15,0.3,3.42,0.79,1.43,0.85,1.25,1.56,1.55,1.45,0.48,1.27,2.03,0.51,1.24,2.23,1.75,0.8,2.17,1.55,2.49,4.72,0.98,3.37,,,,,,,,,,
October,1.55,1.03,5.11,1.68,1.56,2.13,1.44,3.04,1.53,4.19,2.57,4.11,3.7,1.63,1.44,1.2,0.44,5.22,2.56,4.78,1.61,0.77,2.99,1.47,1.05,1.04,3.23,0.94,4.26,3.36,3.52,3.97,2.72,2.63,0.46,2.63,1.95,1.55,1.99,1.35,4.99,1.53,0.84,2.74,2.21,1.85,3.84,1.49,2.74,1.85,3.19,1.02,1.55,2.97,3.45,1.34,0.62,1,,,,,,,,,,
