WESTMINSTER SPRING GARDENS GAUGE NO. 2 (ROOF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ299803,Long,-0.128946,Lat,51.507148,Elevation,95,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,38/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.11,0.85,3.35,4.05,1.87,3.08,2.01,1.12,1.61,2.97,1.9,0.84,2.97,1.07,4.56,1.13,2.52,0.22,0.9,1.11,1.98,2.03,1.13,3.09,,0.66,0.75,2.06,,0.3,1.11,2.63,1.23,0.58,1.56,0.58,2.17,2.38,0.48,0.59,1.81,1.58,1.05,3.15,0.63,1.18,0.48,1.27,,3.39,2.13,0.46,3.89,1.09,1.21,2.74,2.7,2.39,,,,,,,,,,
February,0.38,0.64,1.32,3.57,1.19,0.96,2.24,0.57,0.92,0.81,1.3,0.82,0.78,1.53,1.76,1.15,3.66,2.03,2.53,1.14,3.07,0.95,2.37,1.09,,0.74,1.75,0.91,,1.38,2.6,1.5,0.1,0.21,2.44,1.09,1.67,3.62,0.75,0.81,0.74,2.63,0.63,1.51,0.92,1.24,0.27,2.1,,1.47,0.73,2.26,3.26,3.37,0.85,0.96,2.39,0.61,,,,,,,,,,
March,0.68,2.36,0.81,1.34,1.7,0.85,1.42,1.8,0.7,1.73,1.29,0.43,0.47,2.54,2.28,0.9,0.59,0.54,1.82,0.99,0.63,1.17,1.55,0.81,1.15,2.69,,1.54,1.39,0.91,0.34,0.9,0.9,2.75,2.92,1.03,0.36,0.74,1.87,1.37,1.83,1.36,3.02,0.73,0.68,1.89,2.18,0.81,,2.3,1.95,4.01,0.73,3.89,1.83,0.93,3.39,1.2,,,,,,,,,,
April,0.63,0.77,0.3,1.59,1.91,1.38,1.06,0.39,2.49,1.15,0.55,1.03,1.57,1.64,2.55,4.43,2.61,2.16,0.43,2.19,1.48,0.85,2.14,1.26,1.53,1.82,,2.01,0.83,0.94,0.03,1.16,1.26,0.45,1.67,0.92,2.02,0.69,1.62,0.35,1.72,0.94,1.25,0.56,2.71,1.86,1.57,1.44,,0.02,2.43,0.67,1.1,1.29,1.89,2.67,2.97,2.48,,,,,,,,,,
May,1.06,1.78,2.48,1.74,1.57,1.06,2.74,0.69,1.19,2.74,1.22,1.13,1.31,0.64,2,3.09,3.11,0.3,1.09,1.04,1.59,0.73,2.1,4.76,1.36,0.92,3.16,0.94,2.32,1.49,0.51,1.39,0.28,0.11,0.88,1.67,1.14,0.89,0.67,2.05,3.19,1.75,1.19,1.03,1.52,1.5,1.4,1.98,,1.06,1.28,1.77,3.85,1.85,2.38,2.1,0.34,0.72,,,,,,,,,,
June,3.68,1.59,2.39,3.49,1.32,0.54,1.02,0.59,3.12,1.94,2.24,2.22,1.9,1.09,0.52,2.22,3.73,2.34,1.74,1.88,1.26,2.65,1.91,0.68,1.08,2.61,2.12,2.7,0.93,2.29,0.55,1.72,0.22,1.75,1.8,1.06,0.44,2.02,1.61,2.67,5.68,0.78,4.01,2.43,1.8,1.29,4.09,1.73,,2.62,0.52,1.17,0.66,1.76,2.54,1.05,1.57,1.41,,,,,,,,,,
July,0.78,0.36,2.52,1.88,3.88,0.76,0.71,1.51,3.09,2.8,1.46,0.66,4.22,0.78,3.04,1.72,3.71,4.56,1.31,1.95,2.04,2.27,0.68,2.2,0.85,4.32,2.26,4.02,4.13,1.31,2.2,2.58,3.29,1.1,0.62,0.91,2.75,1.06,3.66,1.27,4.52,,1.32,0.6,1.22,3.05,2.77,2.23,,1.21,1.55,1.47,4.12,1.36,3.83,5.98,2.08,3.93,,,,,,,,,,
August,1.81,1.27,4.06,2.23,2.21,2.27,1.05,1.69,0.83,1.43,2.87,0.96,1.1,1.67,2.25,4.96,4.66,0.41,4.72,1.37,0.67,0.69,0.69,0.69,2.51,3.44,1.8,1.5,3.72,3.06,1.39,2.67,2.69,1.22,1.94,0.87,0.23,1.91,1.85,2.87,4.31,1.15,2.18,0.8,1.48,2.09,1.45,1.62,,4.32,1.23,1.15,3.14,6.12,3.87,1.45,1.87,1.7,,,,,,,,,,
September,3.1,2.37,0.53,3.23,2.22,1.69,3.8,1.75,4.16,1.2,2.44,1.6,2.33,2.05,0.77,1.13,2.96,4.04,1.78,2.09,3.2,1.57,4.65,1.56,1.55,1.04,1.49,0.5,1.3,2.35,0.78,0.92,1.39,5.67,3.09,0.3,3.43,0.79,1.45,0.85,2.27,1.5,1.47,1.41,0.47,1.27,1.95,0.5,,2.17,1.75,0.8,2.17,1.52,2.48,4.68,0.98,3.37,,,,,,,,,,
October,1.66,1.07,5.26,1.78,1.62,2.18,1.45,3.21,1.57,4.31,2.67,4.28,3.85,1.75,1.52,1.27,0.47,5.48,2.32,5.21,1.75,0.86,3.33,1.71,1.24,1.14,3.45,0.97,4.49,3.52,3.66,4.16,2.72,2.63,0.46,2.64,1.95,1.57,1.99,1.36,4.91,1.47,0.81,2.62,2.14,1.76,3.66,1.44,,1.81,3.17,1.02,1.53,2.96,3.44,1.34,0.62,1,,,,,,,,,,
