FLECKNEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP648933,Long,-1.046134,Lat,52.53372,Elevation,411,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,2.97,1.07,3.3,2.32,3.3,1.97,2.93,1.8,2.25,3.9,1.82,2.28,3.03,1.97,4.45,1.37,2.25,,0.9,2.94,3.3,2.13,0.67,2.93,,1.18,1.5,2.04,1.77,1.8,2.86,1.11,2.7,1.41,3.55,1.45,3.43,3.85,1.32,1.05,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.1,1.18,2.17,2.74,1.24,1.49,2.11,1.71,1.97,2.46,1.61,0.51,1.64,2.78,2.16,1.19,1.97,,3.53,1.98,4.44,2.48,2.82,0.63,,2.7,1.95,0.75,0.08,0.53,3.05,2.5,0.53,0.64,3.26,0.93,2,4.76,1.3,1.64,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0.75,2.77,0.95,1.53,2.77,1.27,1.29,1.37,1.42,2.32,2.15,0.7,1.09,3.07,1.95,0.57,1.13,,2.01,1.21,0.84,2.05,3.25,1.91,,1.71,3.13,2.13,1.25,0.37,0.23,1.71,2.01,2.5,2.76,1.45,1.68,0.7,1.96,1.48,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.67,1.73,0.44,1.86,2.12,1.43,1.73,0.72,3.05,2.66,0.76,1.03,1.01,3.87,2.77,1.91,2.32,,1.3,3.07,2.09,1.94,1.02,2.25,,1.3,2.98,0.88,2,0.41,0.36,1.36,2.12,1.49,2.14,2.16,2.93,1.13,2.03,1.55,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,0.62,1.41,2.92,1.87,1.82,0.87,4.01,0.57,1,2.42,2.64,1.27,2.14,0.51,1.48,3.99,4.49,,1.12,1.91,2.4,2.14,2.23,3.65,,1.2,3.46,2.13,3.1,1.16,2.47,1.8,1.27,0.65,1.14,3.38,2.22,1.79,0.14,2.76,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,3.42,1.64,2.68,1.88,1.97,0.34,1.49,0.56,4.25,4.2,3.54,1.23,6.11,2.2,1.91,2.8,3.75,,2.34,4.01,4.02,1.45,2.63,1.14,,1.53,0.47,2.36,2.81,3.65,0.98,2.36,0.99,2.3,2.46,0.66,1.57,4.64,2.3,1.3,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,0.81,0.18,4.11,3.01,1.58,0,0.72,1.31,4.09,4.43,2.5,0.88,6.09,0.74,3.57,2.19,3.42,,2.49,3.19,4.36,2.86,0.11,3.84,,4.26,3.2,3.36,2.58,2.13,3,2.34,3.62,2.16,0.2,1.07,2.22,3.79,5.27,1.3,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,2.15,0.92,7.26,5.37,1.99,4.66,1.09,2,0.87,3.85,3.24,2.67,2.57,2.86,3.47,4.86,3.73,,4.32,2.36,1.11,2.07,3.17,1.92,,2.05,2.85,3.38,3.36,1.76,2.05,2.06,2.03,2.31,4.51,4.7,0.61,4,2.28,3.18,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,2.37,1.77,0.26,6.13,1.37,2.07,2.83,1.5,4.87,1.91,1.49,2.92,2.4,4.22,1.89,2.07,2.54,,2.96,2.3,5.47,1.15,2.65,1.53,,4.35,3.03,1.68,1.62,2.59,1.76,1.58,1.07,5.1,2.29,0.58,3.35,0.55,1.39,1.59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,2.39,1.83,5.1,2.17,1.27,2.44,1.11,3.05,1.22,3.87,1.78,1.88,5.51,2.98,1.83,1.93,1.32,,3.32,6.47,2.37,1.51,5.7,4.31,,0.81,2.22,2.12,5.09,3.85,4.99,2.85,3,3.99,1.86,3.71,1.78,2.02,1.66,2.06,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
