BERKHAMSTED-ASHRIDGE-PARK,,,,,,,,,,
Grid ref,SP996113,Long,-0.557283,Lat,51.791497,Elevation,550,ft,,
Station no,933/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.21,2.71,4.2,3.14
February,,,,,,,3.3,3.15,0.07,2.91
March,,,,,,,,1.45,2.11,1.45
April,,,,,,,,1.24,2.42,0.76
May,,,,,,,1.37,2.35,1.03,1.67
June,,,,,,,1.62,4.22,1.18,1.78
July,,,,,,,2.29,2.41,5.03,3.49
August,,,,,,,3.03,2.95,2.3,3.79
September,,,,,,,3.32,4.81,0.23,3.62
October,,,,,,,2.52,3.41,2.6,7.26
November,,,,,,,2.22,2.61,2.98,5.31
December,,,,,,,2.15,3.28,2.74,4.17
Total,,,,,,,,34.59,26.89,39.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1957 Mar Apr estimated,,,,,,,,,,
