"BULMER LODGE (SUDBURY)",,,,,,,,,,,,
Grid ref,TL843404,Long,0.685237,Lat,52.031380,,,,,,,
Station no,1329,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.92,0.68,0.72,1.94,2.23,1.09,3.85,1.25,0.93,0.85,,
February,3.30,0.66,1.01,0.45,3.13,1.21,2.29,1.11,1.57,0.95,,
March,1.21,2.55,1.23,2.20,1.75,2.13,1.78,1.29,2.29,2.78,,
April,1.49,2.05,1.00,2.40,0.93,2.08,1.44,3.80,2.95,2.04,,
May,0.93,0.86,2.56,3.47,1.74,1.25,1.70,3.04,1.25,1.07,,
June,2.68,2.66,3.05,4.93,1.44,2.83,2.46,1.99,0.98,3.99,,
July,1.12,1.36,1.74,4.21,1.87,0.88,0.89,2.20,3.42,4.35,,
August,3.32,1.31,3.88,3.77,1.57,1.83,1.00,2.78,2.37,2.27,,
September,0.53,0.95,1.12,2.90,1.21,1.76,1.32,0.65,1.22,2.46,,
October,2.06,2.32,1.85,4.99,0.98,1.17,4.62,3.19,1.72,3.89,,
November,2.08,0.82,1.65,2.22,1.41,2.33,4.29,2.58,1.34,1.07,,
December,2.76,3.37,1.26,1.42,1.62,0.89,1.68,3.21,1.94,4.53,,
Total,24.40,19.59,21.07,34.90,19.88,19.45,27.32,27.09,21.98,30.25,,
Calc annual,24.40,19.59,21.07,34.90,19.88,19.45,27.32,27.09,21.98,30.25,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,,
