NORTH-NEWTON-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST299310,Long,-3.0019,Lat,51.07421,Elevation,50,ft,,,,,,,,,,,,,
Station no,2078,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.7,3.64,3.77,0.93,3.66,2.11,2.65,1.93,2,0.65,3.79,,3.01,3.71,
February,,,,,,,1.99,3.31,2.57,0.97,0.74,2.11,0.04,4.55,0.22,2.71,2.29,,0.86,1.9,
March,,,,,,,0.85,3.55,2.33,0.2,1.95,1.04,1.58,2.35,2.24,0.98,2.72,,0.18,0.91,
April,,,,,,,2.22,1.43,1.54,1.15,2.99,3.17,2.14,1.05,2.08,4.52,1.57,,0.3,6.46,
May,,,,,,,1.6,1.06,0.69,2.29,1.37,3.28,3.83,1.59,0.54,1.33,1.53,,2.39,1.16,
June,,,,,,,3.08,2.38,1.87,1.9,0.7,3.07,1.12,1.65,1.09,2.28,4.24,,1.31,4.52,
July,,,,,,,2.72,4.58,2.27,1.29,1.6,3.48,2.05,2.21,0.48,0.7,4.82,,4.18,3.85,
August,,,,,,,1.47,3.27,1.38,2.54,2.7,3.39,0.77,0.84,3.51,1.96,0.19,,3.57,,
September,,,,,,,1.24,5.83,1.49,0.47,3.73,1.34,3.14,2.22,1.54,2.85,2.99,,1.81,,
October,,,,,,,5.16,1.8,5.45,4.49,2.65,0.57,5.62,2.09,2.44,5.91,1.79,,2.05,,
November,,,,,,,7.21,2.82,2.56,7.55,4.33,4.22,2.32,0.82,1.32,5.95,2.85,,3.2,,
December,,,,,,,0.49,2.98,2.47,7.33,3.52,1.76,1.77,0.9,6.74,3.54,0.93,,3.2,,
Total,,,,,,,31.73,36.65,28.39,31.11,29.94,29.54,27.03,22.2,24.2,33.38,29.71,,26.06,,
,,,,,,,,,,,,,,,,,,,,,
1939 Terminated for duration,,,,,,,,,,,,,,,,,,,,,
1952 Terminated No further action,,,,,,,,,,,,,,,,,,,,,
