"STAINMORE, RAMPSON (NEW GAUGE)",,,,,,,,,,,,,,,,,,,,,
Grid ref,NY854133,Long,-2.227029,Lat,54.514788,Elevation,980,ft,,,,,,,,,,,,,
Station no,3673,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,8.01,1.27,6.94,3.63,,,,,,,,,
February,,,,,,,,,4.05,0.88,0.86,3.09,,,,,,,,,
March,,,,,,,,,3.81,0.29,2.92,0.86,,,,,,,,,
April,,,,,,,,,0.66,1.59,2.51,3.08,,,,,,,,,
May,,,,,,,,,1.66,2.2,1.62,3.07,,,,,,,,,
June,,,,,,,,,6.02,2.07,2.79,5.68,,,,,,,,,
July,,,,,,,,,3.18,4.28,7.3,5.21,,,,,,,,,
August,,,,,,,,,8.84,3.89,7.05,3.51,,,,,,,,,
September,,,,,,,,,1.34,2.48,3.23,1.69,,,,,,,,,
October,,,,,,,,,5.35,4.95,5.78,2.77,,,,,,,,,
November,,,,,,,,,5.39,7.45,4.45,5.5,,,,,,,,,
December,,,,,,,,,3.08,8.63,3.9,2.51,,,,,,,,,
Total,,,,,,,,,51.39,39.98,49.35,40.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Record for the old gauge says new one set up in April 1928.,,,,,,,,,,,,,,,,,,,,,
Values for Jan-March here then are presumably some adjustment or other and total 1928 is classed as estimated,,,,,,,,,,,,,,,,,,,,,
