SWINTON NEAR COLDSTREAM,,,,,,,,,,,,,,,,,,,,
Grid ref,NT838476,Long,-2.259,Lat,55.7218,Elevation,200,ft,,,,,,,,,,,,
Station no,RR2030,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,2.66,1.71,1.06,2.72,2.63,1.19,3.06,1.12,4.25,,
February,,,,,,,,,,1.81,2.23,2.53,2.63,1.87,1.85,1.68,3.78,2.05,,
March,,,,,,,,,,1.57,1.02,1.08,3.17,2.38,1.27,1.22,3.6,2.6,,
April,,,,,,,,,,1.46,0.55,,3.79,0.48,1.55,0.97,5.1,3.5,,
May,,,,,,,,,,2.67,1.26,,3.36,2.7,1.73,1.03,0.85,2.4,,
June,,,,,,,,,,2.51,2.08,,2.61,1.35,0.84,2.51,2.75,2.37,,
July,,,,,,,,,,0.72,0.84,3.24,2.78,3.62,3.06,1.8,1.15,3.9,,
August,,,,,,,,,,1.15,1.96,1.2,3.36,4.33,4.36,1.74,4,7.03,,
September,,,,,,,,,,4.4,1.3,3.74,6.66,2.98,1.98,3.25,4.37,1.2,,
October,,,,,,,,,,2.32,3.39,2.58,5.57,4.02,2.76,3.62,1.8,,,
November,,,,,,,,,,1.09,2.33,2.92,4.84,2.4,5.14,5.39,4.29,,,
December,,,,,,,,,,2.17,3.54,1.41,4.6,0.87,3.48,1.75,9.75,,,
Total,,,,,,,,,,24.53,22.21,,46.09,29.63,29.21,28.02,42.56,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
August 1872 changed to 3.36 to ensure totals match - checks with nearby stations suggest missing value,,,,,,,,,,,,,,,,,,,,
