ROW GARELOCH DUMBARTONSHIRE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 271 840,Long,-4.775019,Lat,56.018093,Elevation,85,ft,,,,,,,,,,,,
Station no,RR2269,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,3.55,,,,6.58,7.79,,,,,,,,
February,,,,,,,6.16,,,,4.69,,,,,,,,,
March,,,,,,,0.75,,,,5.52,,,,,,,,,
April,,,,,,,2.82,3.76,,,1.86,0.55,,,,,,,,
May,,,,,,,,2.39,,,3.5,1.44,,,,,,,,
June,,,,,,,5.77,2.09,4.72,,5.43,3.69,,,,,,,,
July,,,,,,,3.06,3.49,5.31,,1.8,6.11,,,,,,,,
August,,,,,,,,,,,5.79,9.37,,,,,,,,
September,,,,,,,2.95,3.06,,,3,5.08,,,,,,,,
October,,,,,,,3.13,5.18,,,8.37,,,,,,,,,
November,,,,,,1.42,,,,,3.14,,,,,,,,,
December,,,,,,3.68,,,,,5.08,,,,,,,,,
Total,,,,,,,,,,,54.76,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Census 1861,,,,,,,,,,,,,,,,,,,,
THOMSON GEORGE MEARY,,,,,,,,,,,,,,,,,,,,
1861 M 32 503/ 1/ 12 Row or Rhu Dunbarton,,,,,,,,,,,,,,,,,,,,
Gives him and his family living at Daluvon,,,,,,,,,,,,,,,,,,,,
Brit Nat Grid Ref: NS 27128 84050,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR2269,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
