HINGHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG022022,Long,0.982902,Lat,52.580001,Elevation,,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,
January,,,,,,,,,2.05,1.64,1.16,0.71,2.28,1.91,1.25,2.66,2,,,,,,,,,,2.71,1.91,1.24,1.08,2.87,2.23,1.11,1.99,1.72,3.54,1.3,2.01,1.24,2.1,3.53,0.73,1.34,2.01,1.75,1.08,3.83,1.58,0.92,,,,,,,,,,,2.92,1.77,2.16,4.5,1.65,2.09,1.23,2.64,2.38,3.89,2.38,1.84,2.35,0.93,0.88,1.41,2.3,2.55,3.61,2.28,5.13,,,,,,,
February,,,,,,,,,1.39,2.41,0.65,2.22,0.94,1.85,0.81,1.48,3.12,,,,,,,,,,0.31,0.55,2.02,2.08,0.87,0,2.23,2.48,1.27,0.3,0.79,2.63,1.06,1.15,2.46,0.98,0.83,0.53,2.7,1.44,2.59,1.63,2.07,,,,,,,,,,,3.24,0.84,0.49,2.81,3.47,1.14,2.24,1.88,2.04,1.31,0.63,0.82,2.44,0.92,2.49,0.6,2.27,2.29,2.99,1.06,0.99,,,,,,,
March,,,,,,,,,1.82,2.39,1.17,0.94,2.63,1.66,0.83,0.53,2.83,,,,,,,,,,1.56,2.33,2.58,1.15,2.87,1.69,1.01,0.29,1.02,1.94,3.96,2.11,1.93,1.34,1.1,1.85,1.42,1.96,1.77,2.14,2.14,1.47,2.11,,,,,,,,,,,2.03,1.54,1.07,2.11,1.71,0.96,1.38,0.33,2.26,1.6,0.08,0.95,0.46,1.86,2.2,1.47,0.61,0.43,2.9,0.44,2.25,,,,,,,
April,,,,,,,,,1.84,1.14,0.96,3.47,2.82,1.11,1.22,0.95,3.55,,,,,,,,,,1.39,1.25,1.89,1.98,1.03,0.97,1.29,0.06,2.1,1.2,1.18,2.19,0.91,2.65,1.38,2.62,1.32,2.23,0.98,2.34,0.75,2.87,2.69,,,,,,,,,,,2.2,3.21,1.18,2.26,0.97,2.16,2.22,2.83,1.53,1.33,1.05,1.97,3.55,3.11,1.02,2.49,2.84,1.22,2.37,0.45,2.4,,,,,,,
May,,,,,,,,,0.56,2.84,0.6,1.06,1.93,1.91,1.94,1.47,0.82,,,,,,,,,,2.52,3.14,0.97,2.78,1.74,3.45,2.2,0.91,2.17,0.61,0.55,1.11,3.1,2.17,1.68,1.78,3.55,1.78,1.7,1.03,1.85,2.31,1.43,,,,,,,,,,,0.53,1.76,1.2,0.83,1.63,3.53,3.32,1.28,0.58,1.56,1.16,3.03,2.88,5.22,1.46,1.77,1.01,0.83,2.67,1.17,0.68,,,,,,,
June,,,,,,,,,0.91,1.75,1.47,2.98,3.04,2.22,2.32,1.69,1.85,,,,,,,,,,0.42,0.34,2.29,0.99,3.56,1.04,3.19,1.35,2.89,0.9,2.27,2.01,2.53,0.65,3.45,1.46,2.82,2.91,0.87,3.24,2.53,2.45,1.3,,,,,,,,,,,1.52,2.09,0.4,1.25,0.53,1.98,0.72,2.95,4.71,3.02,0.82,2,2.99,0.35,2.53,2.39,2.57,3.59,2.59,1,1.94,,,,,,,
July,,,,,,,,,0.58,0.45,2.88,2.91,3.65,2.42,1.95,5.81,2.05,,,,,,,,,,5.07,1.22,4.9,3.22,4.89,4.92,3.18,3.71,3.68,4.21,1.13,0.61,1.63,1.9,2.11,1.19,2.09,5.16,2.66,0.84,0.55,1.86,3.41,,,,,,,,,,,2.26,3.36,0.33,4,2.49,1.77,1.5,1.72,2.8,2.25,4.12,3.45,3.14,2.35,2.82,1.28,0.76,3.82,1.86,2.51,1.22,,,,,,,
August,,,,,,,,,2.06,1.92,1.65,0.58,3.33,1.85,1.57,1.04,1.43,,,,,,,,,,1.99,3.09,2.67,3.59,2.88,5.05,2.14,1.51,2.91,4.29,1.83,1.79,2.15,1.39,3.75,1.02,2.93,2.92,1.82,2.81,2.26,1.39,3,,,,,,,,,,,2.52,2.34,1.66,2.26,2.72,3.08,2.88,2.02,3.14,1.94,1.39,2.45,3.2,2.29,0.68,1.41,1.42,1.26,1.9,1.78,4.1,,,,,,,
September,,,,,,,,,2.43,2.91,1.28,4.56,2.89,3.04,3.08,2.31,4.59,,,,,,,,,,1.42,2.54,1.63,3.2,1.09,0.89,2.11,1.23,1.23,0.5,4.38,3.22,0.13,4,0.85,1.25,0.73,3.5,2.36,2.8,1.37,0.46,2.23,,,,,,,,,,,0.91,2.3,1.46,3.3,1.82,4.19,3.11,0.77,3.81,0.89,1.16,5.94,2.04,1.58,3.23,2.08,2.93,2.52,2.22,2.13,,,,,,,,
October,,,,,,,,,2.49,2.09,3.61,1.23,2.79,2.61,1.64,3.13,0.96,,,,,,,,,,2.86,3.13,1.48,3.25,1.99,3.95,6.98,2.08,2.86,2.55,3.79,0.92,2.11,2.75,2.27,2.21,1.55,5.98,1.01,3.46,3.75,2.57,1.7,,,,,,,,,,,2.4,0.67,1.85,0.95,3.51,4.38,1.78,2.55,2.6,2.75,3.91,0.93,1.04,3.85,2.86,1.31,2.72,1.69,1.64,2.88,,,,,,,,
November,,,,,,,,,1.88,2.2,1.08,2.19,4.01,1.12,2.42,5.57,2.55,,,,,,,,,,5.38,2.36,2.67,1.79,4.57,1.54,1.47,3.33,3.91,2.82,1.28,1.58,2.1,2.43,2.89,2.25,1.54,1.59,1.75,1.91,3.93,2.73,1.27,,,,,,,,,,,2.57,0.85,1.37,1.77,2.54,1.88,3.23,3.45,3.31,2.47,3.62,3.54,1.96,1.51,1.91,1.53,3.66,2.75,1.76,2.18,,,,,,,,
December,,,,,,,,,4.45,4.74,4.16,1.12,4.02,0.63,2.22,1.97,3.64,,,,,,,,,,3.64,1.67,1.32,1.37,0.65,3.15,1.07,1.36,2.95,2.13,3.82,1.84,2.24,1.43,3.11,3.54,1.61,1.23,1.81,1.05,2.52,2.67,1.97,,,,,,,,,,,4.18,2.95,1.6,3,2.6,2.27,2.2,1.1,2.74,2.91,4.6,1.97,1.21,0.73,0.69,3.72,1.45,1.38,3.23,3.6,,,,,,,,
Total,,,,,,,,,22.46,26.48,20.67,23.97,34.33,22.33,21.25,28.61,29.39,,,,,,,,,,29.27,23.53,25.66,26.48,29.01,28.88,27.98,20.3,28.71,24.99,26.28,22.02,21.13,23.96,28.58,20.88,21.73,31.8,21.18,24.14,28.07,23.99,24.1,,,,,,,,,,,27.28,23.68,14.77,29.04,25.64,29.43,25.81,23.52,31.9,25.92,24.92,28.89,27.26,24.7,22.77,21.46,24.54,24.33,29.74,21.48,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1924 Sep - Gauge moved 200yds E from Rectory to Manor House.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
