DALRY MOUNT PLEASANT,,,,,,,,,,,,
Grid ref,NS282492,Long,-4.735751,Lat,55.705716,,,,,,,
Station no,RR8439,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,5.41,5.02,,
February,,,,,,,,,4.23,2.33,,
March,,,,,,,,,4.49,1.51,,
April,,,,,,,,,2.17,4.69,,
May,,,,,,,,,2.66,2.38,,
June,,,,,,,,,2.38,3.02,,
July,,,,,,,,,4.54,5.02,,
August,,,,,,,,,3.51,2.88,,
September,,,,,,,,,7.59,2.25,,
October,,,,,,,,,1.68,7.43,,
November,,,,,,,,,4.30,2.94,,
December,,,,,,,,,4.50,5.39,,
Total,,,,,,,,,47.46,44.86,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.46,44.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
