DALRY MOUNT PLEASANT,,,,,,,,,,,,,,,,,,,,
Grid ref,NS282492,Long,-4.735751,Lat,55.705716,Elevation,208,ft,,,,,,,,,,,,
Station no,RR8439,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,5.41,5.02,4.49,3.07,,,,,,,,
February,,,,,,,,,4.23,2.33,5.52,6.79,,,,,,,,
March,,,,,,,,,4.49,1.51,2.09,1.73,,,,,,,,
April,,,,,,,,,2.17,4.69,3.16,3.08,,,,,,,,
May,,,,,,,,,2.66,2.38,2.37,2.71,,,,,,,,
June,,,,,,,,,2.38,3.02,2.32,2.32,,,,,,,,
July,,,,,,,,,4.54,5.02,4.58,2.99,,,,,,,,
August,,,,,,,,,3.51,2.88,9.25,2.93,,,,,,,,
September,,,,,,,,,7.59,2.25,2.19,2.46,,,,,,,,
October,,,,,,,,,1.68,7.43,2.66,3.64,,,,,,,,
November,,,,,,,,,4.3,2.94,4.2,5.9,,,,,,,,
December,,,,,,,,,4.5,5.39,4.39,7.29,,,,,,,,
Total,,,,,,,,,47.46,44.86,47.22,44.91,,,,,,,,
