"UPPER GLENGYLE (NEW SITE)",,,,,,,,,,,,
Grid ref,NN360147,Long,-4.651748,Lat,56.296293,,,,,,,
Station no,5523,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,6.51,,
February,,,,,,,,,,8.12,,
March,,,,,,,,,,3.56,,
April,,,,,,,,,,10.57,,
May,,,,,,,,,2.54,5.55,,
June,,,,,,,,,4.67,4.57,,
July,,,,,,,,,9.80,8.53,,
August,,,,,,,,,5.50,5.40,,
September,,,,,,,,,2.50,5.04,,
October,,,,,,,,,11.05,6.03,,
November,,,,,,,,,13.22,13.54,,
December,,,,,,,,,18.02,12.50,,
Total,,,,,,,,,,89.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.30,89.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
