HOLLOWAY-MANOR-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ303863,Long,-0.1217051,Lat,51.560537,Elevation,100,ft.,,,,,,,,,,,,
Station no,RR7930,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,2.16,0.52,1.16,1.2,2.03,2.33,1.36,4.1,1.45,,
February,,,,,,,,,,3.43,2.03,3.16,1.52,3.26,1.27,2.81,0.97,0.48,,
March,,,,,,,,,,0.9,0.59,2.18,0.48,0.88,1.4,1.76,1.04,1.59,,
April,,,,,,,,,,2.7,2.64,0.58,3.22,1.12,1.14,2.3,1.31,1.33,,
May,,,,,,,,,,3.26,0.05,1.81,1.16,2.5,0.75,2.46,5.03,1.46,,
June,,,,,,,,,,5.25,3.98,1.87,1.97,1.39,3.05,2.5,0.74,0.91,,
July,,,,,,,,,,4.37,5.51,1.78,2.79,2.8,2.88,0.82,3.14,1.07,,
August,,,,,,,,,,4.73,2.2,4.51,1.41,0.61,1.11,0.95,0.84,2.22,,
September,,,,,,,,,,3.77,3.91,2.15,1.89,4.77,1.32,4,1.74,2.01,,
October,,,,,,,,,,1.14,4.1,2.72,4.64,1.86,1.17,4.06,1.79,1.36,,
November,,,,,,,,,,0.51,1.79,2.91,2.21,2.75,1.82,3.26,2.6,2.41,,
December,,,,,,,,,,1.54,3.16,2.52,2.5,0.87,2.92,0.53,3.53,1.41,,
Total,,,,,,,,,,33.76,30.48,27.35,24.99,24.84,21.16,26.81,26.83,17.7,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Manor Gardens, Holloway, assumed to be Manor Road on the record.",,,,,,,,,,,,,,,,,,,,
"Cannot find the observer, Miss Varty.",,,,,,,,,,,,,,,,,,,,
"Note on 1880s record ""1885 Dec doubtful if fall on 28 or 29 is not omitted"", not sure what this means, reading left in this record",,,,,,,,,,,,,,,,,,,,
