EMPACOMBE [DEVONPORT],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX446529,Long,-4.185894,Lat,50.355446,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,6.88,2.54,6,0.97,1.87,2.12,3.86,3.98,2.4,4.8,3.67,2.02,1.52,5.79,3,1.84,2.93,3.63,4.94,0.92,2.78,1.06,5.76,5.38,2.64,1.54,4.54,5.14,2.18,8.38,1.42,1.75,2.02,4.5,1.29,4.02,7.68,1.02,4.2,1.61,1.86,4.11,5.93,6.87,3.76,5.03,2.44,6.12,5.57,5.98,5.03,7.17,3.78,6.75,4.85,3.96,2.47,3.52,0.73,6.93,5.19,5.72,7.12,2.82,4.98,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.19,2.29,5.52,3.46,4.56,2.33,5.22,3.9,3.78,1.48,0.63,0.7,2.6,1.35,0.02,3.1,5.45,2.24,0.03,0.75,4.1,1.45,4.29,5.67,1.18,1.63,1.9,6.57,1.01,4.97,2.12,2.63,0.53,5.57,2.45,4.25,1.35,5.42,7.09,5.8,1.54,2.53,6.18,0.85,0.33,3.99,8.02,2.08,5.45,3.53,3.14,3.25,3.09,2.13,3.36,0.04,3.91,0.16,3.68,5.11,7.6,1.46,1.85,5.34,5.93,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,4.11,1.62,0.55,1.95,4.62,1.14,1.35,4.08,1.76,3.37,1.47,3.68,4.7,1.93,1.95,1.2,0.17,1.73,2.65,4.35,5.08,1.42,0.77,2.35,2.83,2.38,5.25,2.05,5.47,1.56,1.18,4.43,5.65,0.85,3.32,6.66,3.87,6.88,1.06,3.63,4.01,2.15,5.68,4.29,2.22,2.88,2.5,2.44,0.45,0.82,3.92,5.57,0.68,3.02,2.47,1.52,3.63,3.92,1.18,4.46,5.88,0.39,1.32,3.67,3.51,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,5.3,4.15,2.76,2.39,1.34,6.32,1.02,1.65,4.25,2.21,0.96,1.21,1.6,2.9,1.33,1.5,0.61,2.91,2.06,0.26,4.51,1.71,3.99,1.94,3.95,2.05,1.77,1.42,2.67,0.96,5.5,3.07,1.89,2.12,2.03,0.2,4.26,1.91,1.18,0.93,1.21,1.4,2.04,3.37,0.87,3.31,3.19,4.02,2.6,2.57,2.42,1.57,0.8,3.06,2.88,3.17,2.6,2.87,6.06,2.22,4.18,0.13,2.8,3.07,0.94,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,3.73,4.41,2.6,1.24,1.09,0.96,2.76,1.28,3.42,2.21,1.81,2.09,2.7,1.84,2.92,1.45,1.28,2.33,0.99,0.04,2.02,4.35,2.48,1.62,1.64,1.94,1.76,3.81,0.94,3.91,3.52,2.08,1.07,2.7,1.03,1.82,3.52,1.72,3,1.77,2.95,0.73,1.46,1.85,2.53,1.6,2.44,5.24,4.55,1.26,0.4,1.46,3.56,2.17,4.36,4.71,1.81,1.52,1.9,0.74,3.2,3.46,1.17,1.86,2.72,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.11,2.4,8.53,1.32,4.01,3.83,3.03,0.72,2.11,0.69,0.3,2.37,0.76,3.72,2.83,1.5,0.81,2.96,2.22,1.68,2.08,2.69,1.42,3.89,1.56,3.04,2.72,1.1,2.9,1.93,2.61,0.47,3.32,2.14,2.09,5.24,0.87,1.26,2.08,2.4,2.49,1.12,1.04,2.31,0.03,1.04,0.25,1.95,0.01,3.87,3.15,2.4,2.99,0.59,4.66,3.37,2.33,1.82,3.93,1.13,1.34,1.26,3.85,0.72,3.27,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,3.32,1.54,4.98,3.42,2.6,4.66,2.49,3.23,0.37,3.41,1.31,5.66,3.56,5.21,2.32,1.03,4.7,4.64,3.42,1.76,1.03,0.31,1.3,1.18,3.23,2.07,4,5.52,0.82,1.75,1.41,1.74,3.1,4.21,1.16,2.68,0.39,6.14,4.14,1.15,1.78,3.3,1.41,4.05,1.02,3.8,0.94,6.86,3.37,0.83,3.25,2.05,2.43,2.44,5.04,2.42,2.76,0.52,0.59,7.48,1.85,3.49,5.37,2.57,1.02,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,5.9,6.11,6.97,0.82,3.25,2.65,1.19,1.32,2.04,2.59,1.73,3.81,2.97,2.51,8.25,4.97,1.74,3.09,3.49,1.61,4.99,2.37,1.3,2.3,2.26,1.63,4.36,3.54,5.72,2.33,1.99,3.81,1.96,5.38,2.21,8.66,1.07,2.41,1.76,4.03,4.31,1.94,2.8,1.06,2.92,3.89,2.91,3.41,4.39,1.81,3.65,2.34,3.68,4.69,3.92,1.77,1.95,4.48,3.6,0.62,0.98,4.46,4.39,0.07,6.06,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.94,3.96,5.3,3.92,3.37,4.84,6.33,2.14,5.2,2.33,3.5,0.95,1.88,0.92,2.61,2.49,2.72,2.89,0.33,5.58,2.54,1.16,2.02,1.5,4.22,2.96,4.65,2.53,1.14,1,1.9,3.09,1.23,0.4,2.4,1.47,2.45,3.06,1.2,1.75,2.43,7.93,1.73,2.02,1.14,3.01,3.2,5.51,4.82,0.41,6.03,2.18,0.6,5.68,1.35,5.74,1.83,3.76,4.37,3.36,2.7,2.36,0.59,2.43,0.58,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,3.13,3.65,2.25,4.7,3.23,6.46,3.55,1.63,5.64,5.63,4.11,2.04,5.37,1.24,8.42,3.9,3.25,4.83,3.94,3.28,1.22,5.72,2.83,2.13,2.31,2.65,7.39,2.36,1.48,3.87,5.95,1.66,6.27,6.02,3.29,4.46,4.69,2.91,5.43,7.34,5,2.77,1.55,4.13,1.01,2.26,5.87,8.91,4.04,2.91,3.2,6.23,6.47,4.49,0.85,7.65,3.06,2.99,5.67,1.31,4.28,4.2,5.96,3.48,1.87,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
