CORSHAM-COURT,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST874707,Long,-2.1826502,Lat,51.435156,Elevation,370,ft,,,,,,,,,,,,,
Station no,1491/6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,1.98,3.3,,,,,,,,
February,,,,,,,,,,,,2.1,0.11,,,,,,,,
March,,,,,,,,,,,,0.57,2.37,,,,,,,,
April,,,,,,,,,,,,1.96,2.89,,,,,,,,
May,,,,,,,,,,1.85,,3.12,5.21,,,,,,,,
June,,,,,,,,,,1.4,,3.36,1.38,,,,,,,,
July,,,,,,,,,,1.95,,4.12,3.52,,,,,,,,
August,,,,,,,,,,2.87,,3.94,0.76,,,,,,,,
September,,,,,,,,,,0.38,,2.08,4.15,,,,,,,,
October,,,,,,,,,,4.94,,0.61,5.41,,,,,,,,
November,,,,,,,,,,6.86,,4,2.28,,,,,,,,
December,,,,,,,,,,6.03,,1.5,1.54,,,,,,,,
Total,,,,,,,,,,,33.36,29.34,32.92,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1930 Total IDR,,,,,,,,,,,,,,,,,,,,,
Note that 1930 monthly values not printed on TYR as stated to be in bad accord with surrounding stations,,,,,,,,,,,,,,,,,,,,,
