"FORD, CASTLE GARDENS",,,,,,,,,,,,,,,,,,,,,
Grid ref,NT945375,Long,-2.0889152,Lat,55.631036,Elevation,220,ft,,,,,,,,,,,,,
Station no,RR7480,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,2.3,1.77,1.76,,,2.26,4.85,2.46,1.23,,,,,,,
February,,,,,1.8,3.49,2.26,2.66,,,1.65,0.13,1.44,3.72,,,,,,,
March,,,,,3,2.03,4.65,1.4,,,2.9,1.07,1.87,1.3,,,,,,,
April,,,,,0.32,0.56,1.63,3.69,,,1.8,0.6,2.09,1.26,,,,,,,
May,,,,,1.55,1.51,3.33,2.07,,,2.67,0.98,0.49,2.24,,,,,,,
June,,,,,2.16,1.51,3.22,0.94,,,0.51,0.41,1.39,0.67,,,,,,,
July,,,,,2.08,2.83,5.74,1.04,,,3.32,2.4,3.27,0.95,,,,,,,
August,,,,,1.73,2.52,3.11,6.14,,,4.47,6.1,1.7,4.18,,,,,,,
September,,,,,1.1,2.02,3.69,0.89,,,2.27,1.31,2.79,0.91,,,,,,,
October,,,,,1.82,1.87,2.95,2.75,,,2.04,3.07,2.55,2.23,,,,,,,
November,,,,,4.49,2.13,9.42,1.81,,,1.18,2.03,0.88,4.28,,,,,,,
December,,,,,5.68,4.67,3.16,1.95,,,3.23,1.14,2.32,2.98,,,,,,,
Total,,,,,,27.44,44.93,27.1,,,28.3,24.09,23.25,25.95,,,,,,,
