"BUSHEY HEATH (CALIFORNIA LANE)",,,,,,,,,,,,
Grid ref,TQ147940,Long,-0.344126,Lat,51.633127,,,,,,,
Station no,899,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.00,1.87,0.96,0.86,2.50,4.20,1.54,2.26,,,,
February,4.34,0.69,1.71,2.29,1.96,0.32,4.02,3.19,,,,
March,3.50,2.99,0.73,2.70,1.21,1.16,1.36,1.42,,,,
April,2.48,1.71,2.84,0.32,0.55,1.11,0.23,1.78,,,,
May,2.04,2.31,1.35,2.12,4.46,0.43,1.04,2.82,,,,
June,1.61,1.27,2.26,3.82,2.01,2.63,1.39,4.25,,,,
July,0.96,0.69,3.39,2.98,0.25,4.44,3.48,2.97,,,,
August,3.27,5.35,2.17,2.79,1.41,5.31,2.18,3.66,,,,
September,3.03,3.70,2.42,2.13,1.52,3.06,2.83,4.17,,,,
October,0.89,3.08,2.92,2.81,3.81,2.76,1.95,2.90,,,,
November,5.14,3.09,1.41,4.47,1.94,0.71,2.11,2.68,,,,
December,1.70,2.97,0.58,1.61,2.16,3.83,2.40,3.19,,,,
Total,31.96,29.72,22.74,28.90,23.78,29.96,24.53,35.29,,,,
Calc annual,31.96,29.72,22.74,28.90,23.78,29.96,24.53,35.29,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
